Classifier description,Matthews correlation coefficient,Cohen Kappa score,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate
AdaBoost,0.4010295259426564,0.39559197689831294,0.7116666666666668,0.6699999999999999,0.7533333333333333,0.24666666666666667,0.33
Artificial neural network,0.39366676396019423,0.38549281774717142,0.7092857142857142,0.6833333333333332,0.7352380952380951,0.26476190476190475,0.31666666666666665
Bernoulli Naive Bayes,0.2916854786267335,0.27857756516410886,0.6580158730158728,0.6622222222222222,0.6538095238095237,0.3461904761904762,0.3377777777777778
Clustering-Launched Classification,0.14073511878781195,0.1288340312377643,0.5767460317460317,0.6077777777777778,0.5457142857142857,0.45428571428571435,0.39222222222222225
Decision Tree,0.27827016023239631,0.25974731865808592,0.651031746031746,0.6844444444444445,0.6176190476190476,0.3823809523809523,0.31555555555555553
Extreme Learning Machine,0.36412385299115319,0.35961294217921108,0.6918253968253968,0.6388888888888888,0.7447619047619048,0.2552380952380952,0.361111111111111
K-nearest neighbours,0.38766120458305164,0.37131421590189273,0.7097619047619048,0.73,0.6895238095238095,0.3104761904761905,0.26999999999999996
Logistic regression,0.39866046203063377,0.3808029239895685,0.715952380952381,0.7433333333333332,0.6885714285714286,0.3114285714285714,0.2566666666666667
Random forest,0.38659422916319053,0.37717427408227217,0.7066666666666666,0.6900000000000001,0.7233333333333333,0.27666666666666667,0.31
SVM (RDF),0.40135068156054499,0.38856170719397154,0.715873015873016,0.7188888888888888,0.7128571428571427,0.2871428571428572,0.2811111111111111
SVM (linear),0.38192757858526644,0.36037990708764323,0.7076984126984126,0.751111111111111,0.6642857142857143,0.3357142857142857,0.2488888888888889
SVM (polynomial),0.33962415197904744,0.33858859937138081,0.6745238095238095,0.5766666666666667,0.7723809523809524,0.2276190476190476,0.42333333333333334
