Classifier description,Matthews correlation coefficient,Cohen Kappa score,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate
AdaBoost,0.28602655848743203,0.23766421148573547,0.7076735347222364,0.6815764482431149,0.7337706212013576,0.26622937879864234,0.3184235517568851
Artificial neural network,0.31314387939660099,0.27390047298868719,0.7183974881820016,0.6592592592592593,0.7775357171047439,0.22246428289525613,0.34074074074074073
Bernoulli Naive Bayes,0.31945283998201501,0.2913046148501669,0.7132837855554723,0.615289648622982,0.8112779224879626,0.1887220775120372,0.38471035137701803
Clustering-Launched Classification,0.078895720742743633,0.043513949833582588,0.561171916374379,0.7028490028490029,0.41949482989975534,0.5805051701002447,0.2971509971509972
Decision Tree,0.2202199330563048,0.19114312466817499,0.6538616435703815,0.554131054131054,0.7535922330097087,0.24640776699029124,0.44586894586894593
Extreme Learning Machine,0.26203202625416527,0.21372396935567961,0.6926532381911654,0.6693257359924026,0.7159807403899281,0.28401925961007185,0.33067426400759736
K-nearest neighbours,0.30647575213819472,0.29086648599049808,0.6921853306824497,0.5403608736942069,0.8440097876706923,0.1559902123293078,0.459639126305793
Logistic regression,0.2997468033712084,0.259632835447004,0.7107910328709129,0.6540360873694208,0.767545978372405,0.2324540216275949,0.3459639126305793
Random forest,0.27667717757691729,0.23830676336239498,0.6951120789939956,0.6318138651471985,0.7584102928407925,0.2415897071592075,0.3681861348528015
SVM (RDF),0.27794970410642783,0.23591836286687087,0.6988913738112569,0.6493827160493827,0.7484000315731313,0.2515999684268687,0.35061728395061725
SVM (linear),0.31545592858030752,0.28660638855866744,0.7114880637147588,0.6152896486229819,0.8076864788065355,0.19231352119346434,0.38471035137701803
SVM (polynomial),0.30826090602024697,0.29625048699024448,0.6878703653105737,0.5193732193732193,0.856367511247928,0.143632488752072,0.4806267806267806
