Data balancer,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
None,AdaBoost,0.71942489346037797,-9999.0,0.8602300454515935,-9999.0,-9999.0,0.8631235677771901,0.857336523125997,0.14266347687400316,0.1368764322228098,0.03340126563196662,0.0,0.017241326686680297,0.0,0.0,0.040935491640296987,0.03149333290181297,"[723190298, 723150417, 4133121801L]"
ClusterCentroids,AdaBoost,0.69047007728801313,0.17562399531041875,0.8443767554311961,0.91831798138681153,0.6615296209755562,0.8218931782125858,0.8668603326498066,0.1331396673501937,0.17810682178741405,0.04998886100634428,0.0030599248871084777,0.026752305604748564,0.016181007872279895,0.046152795688323235,0.05442160564148187,0.019005745146957184,
EditedNearestNeighbours,AdaBoost,0.72263432972792396,-9999.0,0.8627586947272994,-9999.0,-9999.0,0.9282742816851755,0.7972431077694236,0.20275689223057647,0.0717257183148246,0.0349262837546571,0.0,0.017799047901332597,0.0,0.0,0.02385102000468138,0.02949169280153925,
InstanceHardnessThreshold,AdaBoost,0.69603982649939533,0.14846147804136731,0.8455876753804611,0.91494022181071644,0.6569706478863699,0.8077736647276573,0.8834016860332652,0.116598313966735,0.19222633527234267,0.05112668276624875,0.0048321320518674585,0.02800121875847163,0.015450694607461426,0.046080805109781055,0.058769330215784676,0.020270414162229966,
NearMiss,AdaBoost,0.72040787881878254,-9999.0,0.8616746122312656,-9999.0,-9999.0,0.9261061166931078,0.7972431077694236,0.20275689223057647,0.07389388330689228,0.0332719333802401,0.0,0.016824891550421935,0.0,0.0,0.02601594957437228,0.02664505279322953,
NeighbourhoodCleaningRule,AdaBoost,0.7225793145293391,-9999.0,0.8627586947272994,-9999.0,-9999.0,0.9282742816851755,0.7972431077694236,0.20275689223057644,0.0717257183148246,0.03163576800828723,0.0,0.016050314830366504,0.0,0.0,0.02385102000468138,0.026219658734951967,
OneSidedSelection,AdaBoost,0.69051537757538839,0.16959546573424697,0.8421228423204544,0.91741692580569256,0.6579953993344362,0.7991010047593866,0.8851446798815221,0.11485532011847803,0.20089899524061344,0.05246773314964208,0.0037164541314304183,0.029299340957057454,0.014807747297317445,0.04274963634812099,0.06517446072773465,0.02228889094715036,
RandomUnderSampler,AdaBoost,0.68532860258862793,0.16417768311680966,0.8416885833881852,0.91422248833949682,0.6482877964084286,0.8165168341265645,0.8668603326498062,0.13313966735019367,0.18348316587343558,0.04770170928605944,0.004779637503610149,0.02559587681602345,0.015608478028995855,0.04921573952446656,0.05154844606195589,0.01647012482905043,
TomekLinks,AdaBoost,0.6913942382299697,0.16899397374224101,0.8417925070837761,0.91736027849056323,0.6595323271503124,0.7914683588930022,0.8921166552745501,0.10788334472544998,0.20853164110699804,0.05136454072013331,0.0035512983294380012,0.028619141882746623,0.015402161811576609,0.04441289135366816,0.06151101752690528,0.022850723215584727,
ADASYN,AdaBoost,0.7079852931904681,0.20997404706721662,0.8548284802675404,0.91817002243120416,0.6576663944733278,0.8697161995416887,0.8399407609933925,0.1600592390066074,0.13028380045831128,0.038185477299625396,0.0017925919732764534,0.0203723872911742,0.015193779559283388,0.0421420269390489,0.054405902069883424,0.02946889782952351,
RandomOverSampler,AdaBoost,0.69867780193607498,0.17290990454317151,0.8487156638531572,0.91657915039027793,0.6588093855520909,0.8305482108231975,0.8668831168831168,0.1331168831168831,0.1694517891768024,0.04545220605256077,0.003020306523533692,0.02435223352919064,0.0156648991254545,0.044249856100321214,0.052205424806853036,0.02111681781879492,
SMOTE,AdaBoost,0.69277533886337739,0.17139878950783938,0.8453674960681835,0.91581096267422102,0.6561223496992632,0.8229860743874495,0.8677489177489178,0.13225108225108226,0.1770139256125507,0.05785847822377913,0.0030052490595102697,0.031181767068389012,0.015714907250281632,0.047415429659503315,0.06439630102260518,0.020392856165265802,
SMOTEENN,AdaBoost,0.6765881246378459,-9999.0,0.8249817822523714,-9999.0,-9999.0,0.7135201833245196,0.9364433811802232,0.06355661881977673,0.28647981667548034,0.04375184120222599,0.0,0.0238790683770656,0.0,0.0,0.04604455452463948,0.01961818412343141,
SMOTETomek,AdaBoost,0.72294655124962626,-9999.0,0.862194983757649,-9999.0,-9999.0,0.8696280627533931,0.8547619047619048,0.14523809523809522,0.1303719372466067,0.02593418656659038,0.0,0.013030813454291771,0.0,0.0,0.033978870652363206,0.03421628258709955,
None,Artificial neural network,0.71396060041997278,0.10221302506207784,0.8576994894572617,0.92512229205290519,0.6705335857041156,0.8589282566543275,0.856470722260196,0.14352927773980406,0.14107174334567246,0.04042641596735235,0.008223126112252746,0.019724086296968583,0.014926135667836226,0.025451748725901814,0.026014695467587005,0.034051175796502714,
ClusterCentroids,Artificial neural network,0.71991882181153943,0.10359250155336343,0.8611027623141793,0.92832758546527372,0.6710183610459783,0.8805217697867089,0.8416837548416496,0.15831624515835038,0.11947823021329101,0.03037405105858926,0.00896473792995461,0.015003561599663578,0.017120037909560796,0.03459138237616916,0.03424277450265417,0.03684245752234754,
EditedNearestNeighbours,Artificial neural network,0.69714221862136527,0.13101255348750096,0.8493885879305735,0.91738814128248858,0.6501355219480309,0.9250132205182443,0.7737639553429028,0.22623604465709732,0.07498677948175567,0.03748246933150467,0.012419970607940036,0.019308583696244525,0.01442161823982105,0.0376548964033953,0.026689787074214984,0.032438707610044304,
InstanceHardnessThreshold,Artificial neural network,0.71724384286439147,0.13215494050307869,0.8599341968208343,0.91986497781398846,0.6506445927944007,0.9260884893354487,0.7937799043062201,0.20622009569377991,0.07391151066455137,0.03461460391001659,0.015457663742288187,0.017598022161980087,0.015577781668029006,0.037105301037287916,0.027426185934581123,0.03025113460404736,
NearMiss,Artificial neural network,0.6967630357559923,0.11061260895044511,0.8494911079438897,0.91608964481296029,0.6422107440187207,0.868588048651507,0.8303941672362725,0.16960583276372748,0.13141195134849284,0.04141601756657219,0.00953486226017686,0.021504193242725383,0.01520169554322397,0.036687536515268224,0.04899308352150635,0.03171434330255591,
NeighbourhoodCleaningRule,Artificial neural network,0.70383892473533083,0.1254036298841989,0.8527121701903911,0.92137933410999728,0.6595124521624078,0.9184910981843822,0.7869332421964,0.2130667578035999,0.08150890181561783,0.041361805165409694,0.018545551830946354,0.020953252530972494,0.015780189408002493,0.03977468680216871,0.03543565413701593,0.04444891807144064,
OneSidedSelection,Artificial neural network,0.70805004186776033,0.10756595638004528,0.8552381928331717,0.92374957513007561,0.6570586688094956,0.882725189494095,0.8277511961722487,0.17224880382775123,0.11727481050590516,0.04654822714853073,0.014813103365750138,0.023595895686381572,0.015409030613785932,0.04764110365511097,0.04097261546854553,0.04337592361568872,
RandomUnderSampler,Artificial neural network,0.70752614537649561,0.10902332608969359,0.8552324967748443,0.92140340756222083,0.6493628426042586,0.882725189494095,0.8277398040555934,0.1722601959444065,0.11727481050590514,0.03442585979798972,0.01209651180192951,0.01754894074316199,0.018501915885221078,0.04962495779160989,0.03777274172526278,0.03163540541465225,
TomekLinks,Artificial neural network,0.71967067437631493,0.10408729363083966,0.8609893502083654,0.92724382226177426,0.6680908292359928,0.89247311827957,0.829505582137161,0.1704944178628389,0.1075268817204301,0.037312152362785934,0.013239570023777293,0.01885283298132167,0.014452521452018589,0.039258423476613485,0.03908883949745412,0.04395830043101092,
ADASYN,Artificial neural network,0.72727520704344528,0.10580595054407858,0.8652110481482297,0.92612979856014732,0.6624993187984175,0.8956989247311827,0.8347231715652768,0.1652768284347232,0.10430107526881718,0.03580085377560215,0.008503312528201723,0.01805831018580629,0.01658522649494427,0.04014181243515805,0.03528134900886977,0.032467784292292426,
RandomOverSampler,Artificial neural network,0.70886920678186605,0.10375741232127442,0.854491364582795,0.92776868496899689,0.6682919852293037,0.8577295963335098,0.8512531328320802,0.1487468671679198,0.14227040366649038,0.04675556485162916,0.011104014337330432,0.02352878022563397,0.015667286113924823,0.038399957264164675,0.050127302256365205,0.044702477047564,
SMOTE,Artificial neural network,0.71962333949519453,0.10163186233080466,0.8601844287898729,0.92699800918092534,0.669417394584668,0.8621893178212585,0.8581795397584872,0.14182046024151285,0.1378106821787414,0.034207565094128374,0.008829060192163785,0.017435975159622117,0.01430320323539378,0.030982825904951418,0.03960901390908044,0.0362092186989971,
SMOTEENN,Artificial neural network,0.68662908856568317,0.12150130116788488,0.8301978836567886,0.91937565296829404,0.6491948884717545,0.7221752159351312,0.938220551378446,0.06177944862155389,0.27782478406486866,0.05052231844662951,0.01425356178203171,0.028248019905108595,0.016518785171268653,0.042722599891824316,0.0577014637513096,0.02348024407656243,
SMOTETomek,Artificial neural network,0.70535929427173316,0.10880944634529865,0.8531594417995375,0.9157458149484089,0.6551704906711945,0.8533227569187379,0.8529961266803373,0.14700387331966278,0.14667724308126212,0.03845062712309868,0.0094534220065396,0.018968338225729395,0.016751953379627777,0.043664066008413695,0.031363938962781446,0.0370138688483851,
None,Bernoulli Naive Bayes,0.6987654635351489,0.11352165503323881,0.8470263653701825,0.91726555102240481,0.6483967639369138,0.8089194429754979,0.8851332877648669,0.11486671223513328,0.191080557024502,0.04605436773756785,0.013962330439955066,0.024618081365689062,0.015371265198957287,0.04894263745691448,0.047867543306671825,0.022343701992318523,
ClusterCentroids,Bernoulli Naive Bayes,0.6986959854369762,0.11404723298360014,0.8466043118468736,0.91721533172867753,0.6476283714695772,0.8046007403490216,0.8886078833447254,0.11139211665527454,0.19539925965097826,0.05141949981319493,0.01377883777909385,0.026726698547815057,0.01637000052531047,0.052505754746787016,0.0466036800975666,0.02507527800014311,
EditedNearestNeighbours,Bernoulli Naive Bayes,0.70240941997317718,0.12314075361562347,0.8527424005665816,0.91908043388602279,0.6494735867570096,0.8794993830424819,0.8259854180906812,0.17401458190931876,0.12050061695751806,0.03736089448818463,0.014012228533425963,0.0190737276312067,0.014879068106521684,0.045264800832541086,0.03886795989745833,0.028094516458987976,
InstanceHardnessThreshold,Bernoulli Naive Bayes,0.71592172718005687,0.13318118968701539,0.8593897819641648,0.9218133129082503,0.6763848254485926,0.9206592631764497,0.7981203007518797,0.20187969924812033,0.07934073682355015,0.03700634299387019,0.019005439904535102,0.0188423939292189,0.014455471619777923,0.03979285441579572,0.028005283838015167,0.03268188406880246,
NearMiss,Bernoulli Naive Bayes,0.69902720323292067,0.11600613775480707,0.8473286359979562,0.91496782555398148,0.6420260061869346,0.8121099947117926,0.8825472772841193,0.11745272271588061,0.18789000528820726,0.058842485768775314,0.01679571973665972,0.031461746633368676,0.016983973769103686,0.051613861224812034,0.0598208841015831,0.0254314046154773,
NeighbourhoodCleaningRule,Bernoulli Naive Bayes,0.70651573706562776,0.118803630726682,0.8541446159025274,0.91837502028712459,0.6501659588380463,0.8631764498501674,0.8451127819548871,0.15488721804511277,0.13682355014983252,0.045217498537126935,0.013820631399757135,0.023246736476453443,0.014774637112158331,0.04598467643380867,0.04691197940179281,0.030198874684941614,
OneSidedSelection,Bernoulli Naive Bayes,0.69442516214610883,0.11485528248812905,0.8460559660773972,0.91952338902156583,0.6494027337825267,0.8208884188260178,0.8712235133287766,0.12877648667122352,0.17911158117398202,0.046617203663154444,0.014618010663189582,0.024173120021970355,0.01467077516959071,0.05063156458024984,0.04381908679613069,0.029502313870176936,
RandomUnderSampler,Bernoulli Naive Bayes,0.69355903477568348,0.11696890565319938,0.8460420015473036,0.91575283938416763,0.6391961396290265,0.8251894940948351,0.8668945089997723,0.13310549100022787,0.1748105059051648,0.04360346075196034,0.014669441630722809,0.022891225681292742,0.018181692436041823,0.05201899941092841,0.04470071993984865,0.024557989863684584,
TomekLinks,Bernoulli Naive Bayes,0.6991562527934766,0.11431744880066841,0.8484325146311285,0.91857953016766214,0.6510906408003384,0.8230213291027674,0.8738437001594896,0.12615629984051038,0.1769786708972325,0.03879024139862236,0.01429556210032998,0.020245164923047686,0.014794876847816885,0.048835603606702915,0.03971295413986369,0.02526173034656795,
ADASYN,Bernoulli Naive Bayes,0.69670360163529399,0.11243568650721447,0.847661140014114,0.91977002744349434,0.6475660474420525,0.8284505552617661,0.8668717247664617,0.1331282752335384,0.17154944473823378,0.043324863570791794,0.013203948801909962,0.022423695426406723,0.014380895327140618,0.04742587700554302,0.041063102761909075,0.03071301550990155,
RandomOverSampler,Bernoulli Naive Bayes,0.69564627876794127,0.11354228911961556,0.8456986445971668,0.91754211257676432,0.6518291225797234,0.8088841882601797,0.8825131009341535,0.11748689906584643,0.1911158117398202,0.04478635663091968,0.013762983070564692,0.024364017570885254,0.015543246596621903,0.04479953086733228,0.0490973524286867,0.01642645256046509,
SMOTE,Bernoulli Naive Bayes,0.70078313519592805,0.11458558422407621,0.847362261116471,0.91520443939520435,0.6480805446426143,0.8035078441741583,0.8912166780587831,0.10878332194121668,0.19649215582584167,0.045902271871296696,0.014321900314003483,0.024921931977483915,0.015269970690501868,0.04674217192195586,0.05073665547050826,0.019979167974506166,
SMOTEENN,Bernoulli Naive Bayes,0.6875119018316711,0.13079388826265215,0.8318232633889903,0.90859341517584147,0.6441380934312381,0.7297549797285386,0.9338915470494417,0.06610845295055821,0.2702450202714613,0.05006891669447296,0.018692068581847732,0.029305022274658886,0.018112379816199127,0.05073084251361082,0.06243388617199788,0.01918740223686329,
SMOTETomek,Bernoulli Naive Bayes,0.70504880331574826,0.11537354196951928,0.8483508329739787,0.91436643505306703,0.6492395169092475,0.7958928256654328,0.9008088402825244,0.09919115971747551,0.20410717433456724,0.046012134675613534,0.015128175799387033,0.025878605853057568,0.015708507587179676,0.04547920884693054,0.05523721464153314,0.018174286118511285,
None,Decision Tree,0.63001973331584027,0.14554889285115419,0.8148680978442453,0.85310043894891796,0.511722568923979,0.8185263528997003,0.8112098427887902,0.18879015721120984,0.18147364710029965,0.08674436307692401,0.028343755223369016,0.042823812450921026,0.04275429526223376,0.10399194101846063,0.05936984603215296,0.06576374614201146,
ClusterCentroids,Decision Tree,0.43933611841190401,0.19077079081981271,0.7116709283183441,0.75364807986506333,0.28870610611269154,0.7567777190199187,0.6665641376167692,0.3334358623832307,0.24322228098008108,0.13721359436191816,0.029037371633475053,0.07306132593854102,0.07170233699056255,0.12017753879918334,0.1208864936297482,0.20407833897062772,
EditedNearestNeighbours,Decision Tree,0.58925261161403253,0.16720928291254286,0.7925299734360659,0.83443320574885582,0.4644223778572231,0.8599858981138728,0.7250740487582593,0.27492595124174074,0.14001410188612728,0.11951936549542722,0.03563936392729538,0.06284212404513578,0.053900798659383145,0.13226890612197087,0.08162189171618507,0.11487668654192845,
InstanceHardnessThreshold,Decision Tree,0.61928706274249035,0.15917664587480221,0.8105336022860864,0.84111696842220929,0.4871884584161691,0.830830248545743,0.7902369560264296,0.2097630439735703,0.16916975145425703,0.1030284496694622,0.027278564790994782,0.05202852865124108,0.04170581182597004,0.11150685317192545,0.07022135316030803,0.06010559558833806,
NearMiss,Decision Tree,0.55719268878882466,0.16122262086281863,0.7768979139835551,0.83047074623725814,0.4508835295559218,0.7676714260532347,0.7861244019138757,0.2138755980861244,0.23232857394676537,0.13142617026323886,0.03921160816516273,0.0666227630564007,0.06792050461708753,0.14626029367701285,0.10565632908665051,0.09091919335648194,
NeighbourhoodCleaningRule,Decision Tree,0.61029133724319862,0.16484791409054098,0.805314115175926,0.83642747679737295,0.47463631211245777,0.8482108231976025,0.7624174071542492,0.23758259284575073,0.15178917680239729,0.08262913806466342,0.030507302404999524,0.042248292875364794,0.03910596731564956,0.10011639108008401,0.05527593099376646,0.07617848013762192,
OneSidedSelection,Decision Tree,0.66744348729969771,0.13302965737165715,0.8300494788965104,0.87465280852725547,0.5638541213990031,0.8037193724660673,0.8563795853269536,0.1436204146730463,0.19628062753393263,0.05250699113837607,0.013651692812570117,0.031891671444662324,0.023655788296062442,0.06605923195582235,0.0955126789298883,0.05883217735199515,
RandomUnderSampler,Decision Tree,0.40876558800059304,0.20018963332340087,0.6898816436794116,0.71727657263923228,0.24645163447924975,0.7331923144720608,0.6465709728867624,0.3534290271132376,0.2668076855279394,0.1426570676648091,0.03233396611114204,0.07783264963304029,0.07068193471123499,0.13181883216315535,0.17310501771052858,0.2499331643230777,
TomekLinks,Decision Tree,0.62182807864826228,0.14690554050777346,0.8104132169518068,0.84793593039856519,0.5014716277734356,0.8346906398730829,0.7861357940305307,0.21386420596946912,0.16530936012691697,0.10774404050948691,0.030761229711854108,0.05481417300333246,0.04538085269271271,0.11734792535197221,0.10474149518525079,0.06242928364186866,
ADASYN,Decision Tree,0.64084059922187508,0.13986974871826313,0.8168408377320397,0.85766272563288903,0.5077406119677619,0.8720958928256655,0.7615857826384141,0.23841421736158575,0.12790410717433456,0.06435065011511448,0.01939623550921311,0.036574624924693364,0.0345279170796875,0.07798569253144132,0.08274455929057689,0.11206949581903662,
RandomOverSampler,Decision Tree,0.54814059632889611,0.16932947397182527,0.7717678799903464,0.80444570273816851,0.38920517487242645,0.8044949762030672,0.7390407837776259,0.2609592162223741,0.19550502379693288,0.09576698022200723,0.02990617311295978,0.04793736606390027,0.050034377331191794,0.12264241902137178,0.1092786766044606,0.08522403257449078,
SMOTE,Decision Tree,0.61122451135238209,0.14433293036079972,0.8056023640419255,0.85960758766778966,0.5153581893283142,0.7983430283800458,0.8128616997038048,0.18713830029619502,0.2016569716199542,0.10102390135476796,0.02842997949241499,0.05135104565155652,0.040049610478547354,0.11310415878730114,0.07569730055371819,0.05401048761761668,
SMOTEENN,Decision Tree,0.58137049217722636,0.15909663116341713,0.7879423451663146,0.83898660043696105,0.4764469035583196,0.7570421293848053,0.818842560947824,0.18115743905217585,0.24295787061519475,0.13660575300751482,0.03888429469223476,0.06975828911852246,0.05445238591994772,0.13905224301869318,0.10000510661424718,0.09244002196013476,
SMOTETomek,Decision Tree,0.61251250417986303,0.1467196048820226,0.8050638530849502,0.84400289399524009,0.49181631950002097,0.8240260884893356,0.7861016176805649,0.21389838231943495,0.17597391151066455,0.12035769277747513,0.03490848214583962,0.06164038105892566,0.060501460521903944,0.14191751894940333,0.07960540090332174,0.10610758599546644,
None,Extreme Learning Machine,0.7248345545129744,0.10432106030026046,0.8636503974469129,0.92480478574928737,0.671564141166851,0.9282919090428347,0.7990088858509913,0.20099111414900891,0.07170809095716552,0.03761934243649758,0.011676304179154672,0.019302881327906734,0.015892470705131202,0.043226452498307526,0.02858441143257094,0.03742391989878655,
ClusterCentroids,Extreme Learning Machine,0.72498614239371406,0.10492808470522251,0.863763945101444,0.9245440864070662,0.6730948514312333,0.9293848052176978,0.7981430849851903,0.2018569150148098,0.07061519478230213,0.04122698727240609,0.012039608856852412,0.021005069339132355,0.01640149533201965,0.04813959475044687,0.029715845904968254,0.03590379506910507,
EditedNearestNeighbours,Extreme Learning Machine,0.71783768060659026,0.12699226597636495,0.8601732234292283,0.90361936161012124,0.6437483631943598,0.9283095364004936,0.7920369104579632,0.20796308954203693,0.07169046359950643,0.04188239587102977,0.010471888504442589,0.021405216804009256,0.017445485293404384,0.0379466284656069,0.02716956277840941,0.03420584282236857,
InstanceHardnessThreshold,Extreme Learning Machine,0.70414112289083419,0.13508234107531297,0.8533172385798398,0.87861574396546149,0.6028964652515556,0.9163405605499736,0.7902939166097062,0.20970608339029392,0.08365943945002643,0.032793321715007435,0.016481348663984846,0.016613382789462467,0.024286660156199468,0.052869883648992054,0.030846586561153844,0.03146119422473012,
NearMiss,Extreme Learning Machine,0.72380855043293479,0.10667814476715899,0.8629925704844295,0.92122676649799573,0.6701175008964462,0.9348140313766965,0.7911711095921622,0.20882889040783778,0.06518596862330336,0.039239073954274735,0.012806216311650999,0.020281166581563467,0.01703589804819543,0.05060171664148633,0.023164695476426862,0.03660654922210172,
NeighbourhoodCleaningRule,Extreme Learning Machine,0.72628097194083108,0.11715094662594346,0.8640689236913738,0.91393624860670963,0.6603643766012316,0.9413185263528997,0.7868193210298474,0.21318067897015266,0.058681473647100295,0.03839244309071434,0.014402101260035037,0.01971880580108827,0.01701081505202618,0.051742687211232326,0.023815232141254975,0.031477381046920154,
OneSidedSelection,Extreme Learning Machine,0.7259291138995726,0.10598566722130257,0.8640766529804634,0.92285318242483771,0.6747995717973637,0.9369821963687641,0.7911711095921624,0.20882889040783778,0.06301780363123567,0.042340527986161496,0.012215093894105754,0.02168193816882066,0.014489774621687433,0.047497011737238255,0.025332052389764975,0.0343805964904068,
RandomUnderSampler,Extreme Learning Machine,0.69743308505012747,0.11951730699047496,0.8500476318193204,0.90642759969487685,0.6339232491898492,0.8837475762383219,0.8163476874003188,0.18365231259968104,0.11625242376167812,0.05837043019821578,0.015369830099692184,0.028775186569311363,0.022413930192046835,0.06095452982513681,0.03872225373226011,0.04689519400514573,
TomekLinks,Extreme Learning Machine,0.72758806110265373,0.10559575045611005,0.8649538459629196,0.92380501455552266,0.6776510303764207,0.9369821963687641,0.7929254955570746,0.20707450444292552,0.06301780363123567,0.04094510029761591,0.012379875602738578,0.020968636189494853,0.01608233034271368,0.046498974164217485,0.025332052389764975,0.033568193497446615,
ADASYN,Extreme Learning Machine,0.72723995003519226,0.10764716070484102,0.864830939422495,0.92141479666668247,0.6710614078824023,0.9315529702097656,0.7981089086352245,0.2018910913647756,0.06844702979023445,0.041076552866366356,0.01135032514156114,0.02102911871323927,0.01660065037410953,0.05112318745679461,0.029448377872420203,0.03704369862425485,
RandomOverSampler,Extreme Learning Machine,0.72743350353801239,0.10492690912996974,0.864825788571231,0.92474439126516839,0.669820632689498,0.9358716728362418,0.7937799043062203,0.20622009569377991,0.06412832716375817,0.03635979692400734,0.012281088777180192,0.01861211732896401,0.01646487096367924,0.04581526593872396,0.027787146227638938,0.0327588946050714,
SMOTE,Extreme Learning Machine,0.72349067148794444,0.10563194553577573,0.8628759052093964,0.92397492637897349,0.6726317805553736,0.9337035078441741,0.7920483025746186,0.20795169742538164,0.06629649215582584,0.035937887677659125,0.01207800557624766,0.018476045495533756,0.01584235571158915,0.045963086354554636,0.024371592604096957,0.03380911530612783,
SMOTEENN,Extreme Learning Machine,0.70198922860261237,0.11151233342870419,0.8447516530617923,0.91944297248577922,0.6618067887126824,0.7808566895822315,0.9086466165413534,0.09135338345864662,0.2191433104177684,0.04583521548677357,0.010885068918877762,0.024824116714033614,0.015925949350043652,0.04111424121594729,0.057896347134332844,0.03345727930187487,
SMOTETomek,Extreme Learning Machine,0.71223735003665467,0.11388639529190574,0.8573291492757664,0.90888639921037173,0.6405082245981129,0.8903930900757975,0.8242652084757347,0.17573479152426522,0.10960690992420234,0.04225837387402587,0.012471250831066701,0.020946208850126057,0.01986469283810997,0.03818891174134066,0.04572203588341246,0.03810603250422431,
None,Gaussian Naive Bayes,0.47547597746429143,0.25716141092353428,0.7058623133479098,0.85536049693485183,0.5129360738218366,0.47697867089723256,0.9347459557985874,0.06525404420141262,0.5230213291027676,0.07488376431123135,0.04061190184043169,0.0441074517177736,0.03274189516499022,0.06778788179428402,0.10478043613936433,0.033588117687668576,
ClusterCentroids,Gaussian Naive Bayes,0.47814402247641913,0.25737377949078288,0.703182819435011,0.85335193905151308,0.5199635503435867,0.45857570950114573,0.9477899293688767,0.05221007063112326,0.5414242904988542,0.08809006759185065,0.0467049969608653,0.052503121460933305,0.03478208261270827,0.07192140435586859,0.11677668789689662,0.022278757239437598,
EditedNearestNeighbours,Gaussian Naive Bayes,0.51310436636239842,0.23887899860711595,0.7307848728595202,0.86711939637083668,0.5285074327943556,0.5320641635818791,0.9295055821371611,0.07049441786283892,0.4679358364181209,0.0799938431441944,0.037635975903927844,0.0451432479564929,0.0308465711270134,0.06982797884887654,0.09177228680990453,0.019543261620917487,
