Data balancer,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
None,AdaBoost,0.35756878160997263,0.21555350897371622,0.6831746031746031,0.77330952380952367,0.30054227204352413,0.5877777777777777,0.7785714285714287,0.22142857142857145,0.4122222222222222,0.07686956318144914,0.0023067424318149493,0.04397541629819032,0.03466673207738465,0.05270944296603217,0.10843442576671868,0.04189393799604337,"[723190298, 723150417, 4133121801L]"
ClusterCentroids,AdaBoost,0.37898781680864607,-9999.0,0.7042063492063492,-9999.0,-9999.0,0.708888888888889,0.6995238095238095,0.3004761904761904,0.2911111111111111,0.049942483169084666,0.0,0.02734078028451065,0.0,0.0,0.05013561854523768,0.01758684315487561,
EditedNearestNeighbours,AdaBoost,0.39877760362812414,-9999.0,0.7156349206349206,-9999.0,-9999.0,0.7422222222222223,0.6890476190476191,0.3109523809523809,0.2577777777777778,0.05973140969249903,0.0,0.032538327497918594,0.0,0.0,0.058012344365362734,0.0322476246730229,
InstanceHardnessThreshold,AdaBoost,0.37440114870837032,0.23735307717026052,0.7036507936507935,0.77065873015873021,0.29663668585607184,0.7644444444444446,0.6428571428571428,0.3571428571428571,0.23555555555555555,0.06366644436270932,0.0021059095830410794,0.03446071592847206,0.036185616493544646,0.0602067566534929,0.04708804466759355,0.043015580154804625,
NearMiss,AdaBoost,0.32886835404099818,-9999.0,0.6790476190476191,-9999.0,-9999.0,0.7333333333333332,0.624761904761905,0.3752380952380952,0.2666666666666666,0.046419279131710664,0.0,0.025268026575983264,0.0,0.0,0.04172218523448577,0.03192962783664802,
NeighbourhoodCleaningRule,AdaBoost,0.39807292717699133,-9999.0,0.7122222222222221,-9999.0,-9999.0,0.6911111111111111,0.7333333333333332,0.26666666666666666,0.30888888888888894,0.05646645030323354,0.0,0.03071787436481515,0.0,0.0,0.05194964323360427,0.016632618282450457,
OneSidedSelection,AdaBoost,0.37063841655424934,0.21664223834173596,0.6934126984126985,0.77180158730158721,0.29530087883498307,0.6311111111111111,0.7557142857142857,0.24428571428571427,0.3688888888888889,0.07030983305728665,0.002601776007823445,0.04049454921343108,0.035487637086617,0.056041624592167195,0.10162871179803662,0.04381469948723217,
RandomUnderSampler,AdaBoost,0.39584582689732029,-9999.0,0.7138888888888889,-9999.0,-9999.0,0.7377777777777776,0.69,0.31,0.2622222222222222,0.05603232984878935,0.0,0.030106471013318502,0.0,0.0,0.05035675197166518,0.035647556708976964,
TomekLinks,AdaBoost,0.35311227890969665,0.21675155356385289,0.6815079365079365,0.77214285714285713,0.29695800647453574,0.5944444444444444,0.7685714285714286,0.23142857142857143,0.4055555555555555,0.078926315209313,0.002455332430623963,0.044792852073470245,0.03561364125849233,0.0577719412923572,0.11216169985151013,0.051954977893279464,
ADASYN,AdaBoost,0.39885134359796431,-9999.0,0.7147619047619046,-9999.0,-9999.0,0.7266666666666667,0.7028571428571428,0.2971428571428571,0.2733333333333333,0.06382055983878189,0.0,0.03356720675919449,0.0,0.0,0.04422166387140534,0.039105647938376786,
RandomOverSampler,AdaBoost,0.40140125549605954,-9999.0,0.7158730158730158,-9999.0,-9999.0,0.7255555555555557,0.7061904761904761,0.2938095238095238,0.2744444444444445,0.05640520566779932,0.0,0.030147240919304878,0.0,0.0,0.05194964323360428,0.03840941872395388,
SMOTE,AdaBoost,0.39774206369133175,-9999.0,0.7127777777777777,-9999.0,-9999.0,0.7088888888888889,0.7166666666666667,0.28333333333333327,0.2911111111111111,0.06371441122158168,0.0,0.03440309126131828,0.0,0.0,0.06550845765770523,0.043928410117138335,
SMOTEENN,AdaBoost,0.41136785433729628,-9999.0,0.7112698412698414,-9999.0,-9999.0,0.6311111111111113,0.7914285714285715,0.20857142857142857,0.3688888888888889,0.07111213302545966,0.0,0.03569805627720186,0.0,0.0,0.053008268630562495,0.03662644671053221,
SMOTETomek,AdaBoost,0.40872391466078961,-9999.0,0.7192857142857142,-9999.0,-9999.0,0.7266666666666667,0.711904761904762,0.288095238095238,0.2733333333333333,0.042435626825703246,0.0,0.02300711382312313,0.0,0.0,0.052634307921453384,0.043617591990683754,
None,Artificial neural network,0.39235961274464598,0.170101358895583,0.6930158730158731,0.78005555555555572,0.32253617599990975,0.5555555555555554,0.8304761904761905,0.16952380952380952,0.44444444444444453,0.0698004140482793,0.015399540708885353,0.03538970673667038,0.03186015795477164,0.057267926739181525,0.0601438604565527,0.029562187038416673,
ClusterCentroids,Artificial neural network,0.37530785884406626,0.20023642957853974,0.7024603174603175,0.76171428571428568,0.2895652436219059,0.7111111111111111,0.6938095238095239,0.3061904761904761,0.28888888888888886,0.0553311308966808,0.013463806970611685,0.030265475251339904,0.03347652915902646,0.059503451436308,0.05258737584977436,0.022867061340081832,
EditedNearestNeighbours,Artificial neural network,0.40521350196292144,0.2046848080623907,0.7193650793650794,0.7844523809523809,0.32299499351438166,0.7511111111111112,0.6876190476190476,0.31238095238095226,0.2488888888888889,0.06103270000358695,0.0178085591317956,0.03316415875688547,0.03201133586064108,0.051787985963292676,0.056916659888292004,0.03069120579870859,
InstanceHardnessThreshold,Artificial neural network,0.33983181138903018,0.36434311208089165,0.6800793650793651,0.76890476190476187,0.2946009722115569,0.8677777777777778,0.4923809523809524,0.5076190476190476,0.1322222222222222,0.05884588483750603,0.03168250800321413,0.03275999748354993,0.03470385999734091,0.05990858384879037,0.04058218303944371,0.04889713391616547,
NearMiss,Artificial neural network,0.34900930741672631,0.24127667031488553,0.69,0.74190476190476184,0.24860999394002814,0.7466666666666666,0.6333333333333333,0.36666666666666675,0.2533333333333333,0.04233913244226152,0.021202869484860488,0.02307927774486216,0.03516251009814454,0.044014199616630834,0.03858612300930077,0.031479035963882684,
NeighbourhoodCleaningRule,Artificial neural network,0.39888720265833,0.19328077085172141,0.7134126984126983,0.78152380952380951,0.3196931197601155,0.7044444444444444,0.7223809523809523,0.2776190476190476,0.2955555555555555,0.06893349747234154,0.0182556563236099,0.03671216170195424,0.03451814950866639,0.062284653990436104,0.054929809308036766,0.03359084207342551,
OneSidedSelection,Artificial neural network,0.38644233247392101,0.17749234979963918,0.6946825396825397,0.77681746031746035,0.3132862616727637,0.5822222222222223,0.807142857142857,0.1928571428571428,0.41777777777777786,0.07881907015395519,0.020666619150122613,0.03956458660185344,0.03708480064529787,0.06271201318408573,0.059462614045598446,0.03052822938061831,
RandomUnderSampler,Artificial neural network,0.3780792634978562,0.20696206270934414,0.7046031746031747,0.76874603174603173,0.2965453215875929,0.7277777777777777,0.6814285714285714,0.31857142857142856,0.27222222222222225,0.05689962610261405,0.015440892486671864,0.03107991633345453,0.03020883056645013,0.048101416881363324,0.05762801102173307,0.02618614682831909,
TomekLinks,Artificial neural network,0.38842904525486432,0.17741643671583165,0.6957936507936509,0.77723015873015877,0.3139182709906818,0.5844444444444445,0.8071428571428572,0.1928571428571428,0.4155555555555556,0.08045418571923649,0.020425785331573038,0.04041046640303173,0.03666894619451692,0.06139739564075354,0.06069555681665627,0.03097069055525544,
ADASYN,Artificial neural network,0.39621438985650276,0.18824876926550496,0.7120634920634922,0.78040476190476193,0.3183992478246209,0.7055555555555555,0.7185714285714286,0.28142857142857136,0.2944444444444444,0.07755073571184697,0.01508001264822619,0.04156533407449788,0.034502861734587165,0.0616925555124443,0.06712803318663652,0.039538150008851566,
RandomOverSampler,Artificial neural network,0.40071185063838188,0.18824426888481252,0.7146031746031747,0.78551587301587311,0.32587608934393786,0.711111111111111,0.7180952380952381,0.28190476190476194,0.28888888888888886,0.06144258458311389,0.016035216988354865,0.0329440610960707,0.033103763509277975,0.05905608680581823,0.05533288710217217,0.03840941872395387,
SMOTE,Artificial neural network,0.40838314731815106,0.18699812527233339,0.7184920634920634,0.78497619047619027,0.3272158594711697,0.7122222222222221,0.7247619047619048,0.2752380952380952,0.2877777777777777,0.06030327112071728,0.015262771902490705,0.032764034937515694,0.03245452076933729,0.05917864917894449,0.05915036290758296,0.031929627836648024,
