Data balancer,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
None,AdaBoost,0.27622327354474735,-9999.0,0.5947876673190431,-9999.0,-9999.0,0.2190883190883191,0.970487015549767,0.02951298445023285,0.780911680911681,0.09101716251433757,0.0,0.03381277140283972,0.0,0.0,0.06774039751033588,0.01223845393547731,"[723190298, 723150417, 4133121801L]"
ClusterCentroids,AdaBoost,0.31962208748421411,-9999.0,0.7039620614196351,-9999.0,-9999.0,0.5742640075973409,0.8336601152419292,0.1663398847580709,0.42573599240265914,0.08455017668436593,0.0,0.05263532193914716,0.0,0.0,0.09230192768434153,0.02739393776610799,
EditedNearestNeighbours,AdaBoost,0.32464116291304229,-9999.0,0.6782304091981256,-9999.0,-9999.0,0.4624881291547958,0.8939726892414556,0.10602731075854449,0.5375118708452041,0.08496449431512015,0.0,0.043696208232212506,0.0,0.0,0.07212661463528862,0.024802324761896213,
InstanceHardnessThreshold,AdaBoost,0.23140363472361908,0.23559714742784443,0.6743849232451331,0.74207442668568246,0.31153664350291504,0.708641975308642,0.6401278711816245,0.35987212881837555,0.291358024691358,0.07807411088239202,0.004949893644782921,0.055533843797979314,0.06076236029424492,0.0906289233778786,0.09189063550437679,0.07584196106000618,
NearMiss,AdaBoost,0.26608581159926309,0.19624514559622097,0.6732446519635721,0.74168141766057949,0.2866492814571279,0.5319088319088319,0.8145804720183124,0.1854195279816876,0.4680911680911681,0.07257702592480673,0.0022265079042732795,0.04949790270107749,0.0491526623302472,0.07709717199081023,0.10430333928829393,0.0344382427323932,
NeighbourhoodCleaningRule,AdaBoost,0.3404303099433319,-9999.0,0.680581395374986,-9999.0,-9999.0,0.45489078822412155,0.9062720025258507,0.09372799747414948,0.5451092117758785,0.11571810727311332,0.0,0.06134466888561234,0.0,0.0,0.11274598566123796,0.026820882360427616,
OneSidedSelection,AdaBoost,0.26573293008489546,0.14788312048006214,0.6305315170237421,0.66867277260441671,0.20144549672318493,0.34083570750237413,0.9202273265451101,0.07977267345488988,0.6591642924976259,0.0767228882938513,0.00451776891297857,0.041183180481074326,0.051903620727766976,0.07516814392060739,0.08179246313418033,0.013298602888941496,
RandomUnderSampler,AdaBoost,0.28278813647186518,-9999.0,0.7007377700778916,-9999.0,-9999.0,0.6585944919278252,0.742881048227958,0.25711895177204197,0.34140550807217473,0.07257039655980997,0.0,0.049732769323505954,0.0,0.0,0.0953283713692304,0.0556673775042111,
TomekLinks,AdaBoost,0.28121408729170816,0.14657064207990703,0.6377250816819845,0.6738479618801666,0.21576197642993983,0.35327635327635326,0.9221738100876155,0.07782618991238457,0.6467236467236467,0.08206318619819801,0.00417614123200663,0.04370184943553744,0.04063866041869724,0.0700292314758174,0.08795378300445535,0.017516282947807944,
ADASYN,AdaBoost,0.3165515048916403,-9999.0,0.7167105789554284,-9999.0,-9999.0,0.6415954415954417,0.7918257163154157,0.20817428368458443,0.35840455840455837,0.06785401139651283,0.0,0.046737477662404985,0.0,0.0,0.0886703793920185,0.020343356194636057,
