Parameter selection,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
Default without balancer,AdaBoost,0.6898321321819435,0.23074106837513236,0.8438755143471389,0.91066236453110572,0.6401420185422576,0.8304600740349021,0.8572909546593755,0.14270904534062429,0.16953992596509782,0.05081766751109484,0.0027096642725642278,0.02520953060552125,0.017129869018860405,0.047142280690811285,0.0553342270772753,0.04442771553262487,"[2106458393, 593744892, 4207887495L]"
Default without balancer,Artificial neural network,0.7189075173928352,0.10759545199449656,0.8592355124627106,0.91895959069829736,0.6599033488957791,0.8489335448616251,0.8695374800637957,0.13046251993620414,0.15106645513837474,0.061381535588804624,0.015505457889205109,0.030975550990626648,0.016382295633669754,0.05491215416153791,0.05073581031757902,0.035008654739743995,
Default without balancer,Bernoulli Naive Bayes,0.71444493717929058,0.11342898909676701,0.8526980640871927,0.91851428303945781,0.6525606757494091,0.8054644808743169,0.8999316473000685,0.10006835269993163,0.19453551912568304,0.041926221857399124,0.01545568685991178,0.021565688590187506,0.014561388773080167,0.04170198718628717,0.05299973396089226,0.04258661198952305,
Default without balancer,Decision Tree,0.62972696970525788,0.1836000193815116,0.8142918953072311,0.81429189530723101,0.45060622743579265,0.7948175568482284,0.8337662337662337,0.16623376623376623,0.20518244315177153,0.05083783417146531,0.02557910498393406,0.024792329146290773,0.024792329146290787,0.06662024651884585,0.03529629136683612,0.0419735206424536,
Default without balancer,Extreme Learning Machine,0.70331363588828177,0.11750745314085975,0.8527562837674448,0.90554381302036391,0.6238363340312895,0.8673717609730301,0.8381408065618594,0.1618591934381408,0.13262823902696985,0.057128709627871775,0.013300709888798376,0.028697911685014215,0.019463092932950607,0.05578633292611855,0.04789296307371177,0.035193023430623666,
Default without balancer,Gaussian Naive Bayes,0.47912313882575958,0.25673867831238062,0.7068763442667529,0.85831106719734307,0.5258388712660519,0.47121452494271104,0.9425381635907951,0.05746183640920483,0.5287854750572889,0.10358367128960722,0.05360758972772271,0.060185774086694274,0.024934533973150434,0.05109750525399233,0.12658867678893185,0.021787297268358034,
Default without balancer,K-nearest neighbours,0.60891287063636779,0.13976794445116708,0.7994803453757223,0.87710570715524916,0.5049144977939511,0.7328750220341971,0.8660856687172477,0.13391433128275232,0.267124977965803,0.045782905740716286,0.01155005250766097,0.023781877859467886,0.019041537313431705,0.04205523348002074,0.052500337931322534,0.03065002356613058,
Default without balancer,Logistic regression,0.71788853807686948,0.1012632689229274,0.8596167447367036,0.92842596973661007,0.6764815286505209,0.8619425348140315,0.8572909546593757,0.14270904534062429,0.1380574651859686,0.04691495574406639,0.011785434418615038,0.02353804870727482,0.0146549922250498,0.05028773122444235,0.041116377587332616,0.029836421119608072,
Default without balancer,Random forest,0.71121020371545607,0.1104413190488549,0.8512271827831682,0.9170027883274845,0.6290251494106569,0.7990481226864092,0.9034062428799269,0.09659375712007288,0.20095187731359065,0.04763985456263043,0.009229055204256391,0.02532671165785298,0.014820702792818705,0.04293200300995768,0.051623756635834225,0.026731169031574298,
Default without balancer,SVM (RBF),0.72101717115113106,-9999.0,0.8616544064357811,-9999.0,-9999.0,0.9260884893354485,0.7972203235361129,0.202779676463887,0.0739115106645514,0.03915373562324324,0.0,0.01978479336149232,0.0,0.0,0.03478497204090736,0.03592115212707331,
