Parameter selection,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
Default without balancer,AdaBoost,0.3547344316579244,0.24281870427963645,0.6663492063492064,0.75991269841269837,0.29070934945151194,0.478888888888889,0.8538095238095239,0.14619047619047618,0.5211111111111111,0.0726436647262873,0.0013054200494924334,0.03436462113408339,0.043310710924389303,0.067212127967814,0.056916659888292,0.029377517743213656,"[2106458393, 593744892, 4207887495L]"
Default without balancer,Artificial neural network,0.38059971815682908,0.18906266923009415,0.680079365079365,0.76190476190476208,0.29145891442502314,0.5044444444444445,0.8557142857142856,0.14428571428571427,0.4955555555555556,0.036813090112413585,0.013127972455789562,0.01965051157578917,0.029486343354923547,0.04820710291982941,0.04653420353638207,0.022916589362887554,
Default without balancer,Bernoulli Naive Bayes,0.3747785103323239,0.18840030546067615,0.6887301587301589,0.77688888888888907,0.30761142715509865,0.5755555555555555,0.8019047619047618,0.19809523809523807,0.42444444444444446,0.05946903237626192,0.019575922563021195,0.029645380356265023,0.03378961007178427,0.05766534510165045,0.05050363634383781,0.0356157370501241,
Default without balancer,Decision Tree,0.22378321424153333,0.32633333333333336,0.6113492063492064,0.61134920634920631,0.07595885412556291,0.45555555555555555,0.7671428571428572,0.2328571428571429,0.5444444444444444,0.0813127882233625,0.037659291313329596,0.04074111866793719,0.0407411186679372,0.049330747337902166,0.06573421981221797,0.04401607622206224,
Default without balancer,Extreme Learning Machine,0.32837846185249597,0.17916403457252136,0.6515079365079365,0.75046825396825412,0.27093003669579424,0.4477777777777778,0.855238095238095,0.14476190476190479,0.5522222222222222,0.09249333617196812,0.01519229644997885,0.04412684138380475,0.038100736623683816,0.05996418455763489,0.08385761006272537,0.03968126982095172,
Default without balancer,Gaussian Naive Bayes,0.32732481972571281,0.29580282198279079,0.6709523809523809,0.73539285714285718,0.25806456313955706,0.6866666666666666,0.6552380952380952,0.3447619047619047,0.31333333333333335,0.06692618607519575,0.08100355980072241,0.03890459676287541,0.03381205138104021,0.052640977139617004,0.11290769747075773,0.1589392273937908,
Default without balancer,K-nearest neighbours,0.29796889214414918,0.19186666666666669,0.6249206349206349,0.70651587301587304,0.1849849171843317,0.35555555555555557,0.8942857142857142,0.10571428571428572,0.6444444444444445,0.08164321530706152,0.010297097757243157,0.03409965683287633,0.0271901814076071,0.04567288202370174,0.05152010275275392,0.023502786055720114,
Default without balancer,Logistic regression,0.3720831185141889,0.16683100803400547,0.6717460317460318,0.78428571428571414,0.3262985887051361,0.4744444444444445,0.8690476190476191,0.13095238095238096,0.5255555555555556,0.07713326440062963,0.01378967485941482,0.03761218208063338,0.03512288114670196,0.06509239528322257,0.06522515609528522,0.026168822217207784,
Default without balancer,Random forest,0.31494657956403166,0.17689666666666673,0.6264285714285713,0.74696031746031744,0.23697323981925023,0.3366666666666667,0.9161904761904761,0.0838095238095238,0.6633333333333333,0.07576027662728156,0.012185940897425834,0.034085060997744374,0.03728800284556192,0.05871439923710044,0.06531972647421809,0.018157786633273908,
Default without balancer,SVM (RBF),0.30741165556321781,-9999.0,0.606111111111111,-9999.0,-9999.0,0.26222222222222225,0.9499999999999998,0.05,0.7377777777777778,0.04815918259464047,0.0,0.022678979360021796,0.0,0.0,0.053564314636417545,0.018626292586293298,
