Parameter selection,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
Default without balancer,AdaBoost,0.30075697836008791,0.23345995078099591,0.5998746339799302,0.77966389682152548,0.3491672551973546,0.2237416904083571,0.9760075775515037,0.023992422448496326,0.7762583095916431,0.10068025590977066,0.001268180000460241,0.03705298540756141,0.04978964118566153,0.07810800676946086,0.0754644633765699,0.012211062707867466,"[2106458393, 593744892, 4207887495L]"
Default without balancer,Artificial neural network,0.23373815244050408,0.097837964265877625,0.5801681224263907,0.72645560793007313,0.2675759195746263,0.1921177587844254,0.9682184860683558,0.03178151393164417,0.8078822412155746,0.07199886683112822,0.007649663164948994,0.03350242350412928,0.05121962351354421,0.07217413520281164,0.0728417967301623,0.012424483089427594,
Default without balancer,Bernoulli Naive Bayes,0.3667423097877498,0.12689611950360777,0.7089111340038802,0.76387892558703185,0.3345235858425461,0.5300094966761633,0.887812771331597,0.11218722866840318,0.46999050332383674,0.05347585549571032,0.019794439089422928,0.024779768191905006,0.049751430101018956,0.06802466483754739,0.04236135020725548,0.024862007557572903,
Default without balancer,Decision Tree,0.2164341730014071,0.1471596781919563,0.600949301062175,0.60348683182292784,0.14425084679078062,0.27616334283000943,0.9257352592943406,0.07426474070565948,0.7238366571699906,0.07996527276638446,0.014154001331504112,0.04074289172680631,0.048076839989661016,0.06756784961220666,0.08039181778790983,0.013385373609981294,
Default without balancer,Extreme Learning Machine,0.24183510265313571,0.095762308799030929,0.5806240483365749,0.72265290536898386,0.2730451333508619,0.18945868945868943,0.9717894072144605,0.0282105927855395,0.8105413105413106,0.10006209509079719,0.007702833366987463,0.04068761615399031,0.051041509981934526,0.08679975914399549,0.08145192352665298,0.010678061467583308,
Default without balancer,Gaussian Naive Bayes,0.12147002298256744,0.61173047678328529,0.579044242637265,0.75758166680496786,0.3352752846731705,0.9255460588793923,0.23254242639513775,0.7674575736048622,0.07445394112060777,0.05224554947465733,0.05934971646582327,0.03725263134547318,0.05386304457795089,0.09247773683032677,0.05046962957574942,0.07031954094139453,
Default without balancer,K-nearest neighbours,0.17667728574005909,0.10038060492448535,0.5419574756696867,0.65850408572959684,0.15141709120517685,0.09753086419753086,0.9863840871418426,0.013615912858157709,0.9024691358024692,0.08407568773568545,0.0077186040603456725,0.025739482134425347,0.05305462520725364,0.06585717582951123,0.05389779970621816,0.008740163308778505,
Default without balancer,Logistic regression,0.3083436812487344,0.085603377194738928,0.5950593806494034,0.78717785904935633,0.3545470449652086,0.2089268755935422,0.981191885705265,0.018808114294735178,0.7910731244064576,0.09049191832931044,0.006379065075886191,0.03143181930904732,0.04748954092428957,0.0720586952914678,0.0636964377940965,0.010479355329052082,
Default without balancer,Random forest,0.20171345546894223,0.10424816976646163,0.5733990792069569,0.69929353094875235,0.22241592933577264,0.1892687559354226,0.9575294024784907,0.042470597521509196,0.8107312440645775,0.08411670468285351,0.007999937907457576,0.03012399752823143,0.04583941536866018,0.05716139475447593,0.05227711055346051,0.013548802457009217,
Default without balancer,SVM (RBF),0.0,-9999.0,0.5,-9999.0,-9999.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Default with balancer,AdaBoost,0.3021668307275503,0.24090089130043174,0.709749380399787,0.78009697268991607,0.35050525897156637,0.6445394112060778,0.7749593495934959,0.22504065040650412,0.3554605887939221,0.0655111164922507,0.00137744773531148,0.043999265563122225,0.05055277146733809,0.07999164592601751,0.07643237435061191,0.033959172460037046,
Default with balancer,Artificial neural network,0.18716993747968383,0.1502359267732695,0.6126739766111461,0.65904967573449691,0.17861536962631744,0.3810066476733144,0.8443413055489779,0.15565869445102218,0.6189933523266856,0.0533104816283122,0.011505354301494502,0.032590134690243994,0.04516070206063934,0.05067204171698454,0.07029182837243284,0.026395377839781638,
