algorithm,base_estimator,learning_rate,n_estimators,Data balancer,Matthews correlation coefficient,Cohen Kappa score,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,5,None,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.9914285714285714,0.0,0.9700000000000001,0.9700000000000001
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,20,None,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.981904761904762,0.0,0.9422222222222222,0.9422222222222222
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,50,None,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.9147619047619048,0.0,0.7944444444444446,0.7944444444444446
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,75,None,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.7876190476190476,0.0,0.5544444444444444,0.5544444444444444
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,20,ClusterCentroids,0.11643841180069474,0.026754670779387608,0.5219047619047618,1.0,0.043809523809523805,0.9561904761904763,0.0,0.0,0.0,0.0,0.0,0.0
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,5,ClusterCentroids,0.06159455473692782,0.0077584787906384749,0.5064285714285713,1.0,0.012857142857142859,0.9871428571428572,0.0,0.0,0.0,0.0,0.0,0.0
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,5,EditedNearestNeighbours,0.036475342865952137,0.0066336512594766433,0.5023809523809524,0.006666666666666667,0.998095238095238,0.0019047619047619048,0.9933333333333333,0.0,0.020952380952380948,0.0,0.0,0.0
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,20,EditedNearestNeighbours,0.045079233345517576,0.0099198508106775884,0.5035714285714286,0.01,0.9971428571428572,0.002857142857142857,0.9900000000000001,0.0,0.012380952380952381,0.0,0.0,0.0
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,50,ClusterCentroids,0.22926683119453573,0.13346395119194307,0.5988888888888888,0.9444444444444443,0.2533333333333333,0.7466666666666667,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,75,ClusterCentroids,0.29404631479500754,0.234998411479999,0.6546825396825396,0.8488888888888889,0.4604761904761905,0.5395238095238095,0.1511111111111111,0.0,0.0,0.0,0.0,0.0
