activation,hidden_layer_sizes,max_iter,solver,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
identity,"(5,)",1000,lbgfs,None,0.6726190476190476,0.48666666666666664,0.8585714285714285,0.14142857142857143,0.5133333333333333,0.24555555555555555,0.719047619047619,0.04285714285714285,0.29777777777777775,0.29777777777777775
identity,"(50, 50)",1000,lbgfs,None,0.6723015873015873,0.4855555555555555,0.8590476190476192,0.14095238095238094,0.5144444444444445,0.24444444444444446,0.719047619047619,0.04285714285714285,0.2966666666666667,0.2966666666666667
identity,"(5,)",1000,adam,None,0.6700793650793649,0.4711111111111111,0.869047619047619,0.13095238095238096,0.5288888888888889,0.2188888888888889,0.7223809523809525,0.029523809523809525,0.2822222222222222,0.2822222222222222
identity,"(5,)",1000,sgd,None,0.6584126984126984,0.42111111111111105,0.8957142857142858,0.10428571428571427,0.5788888888888889,0.13555555555555557,0.6923809523809523,0.01761904761904762,0.2777777777777778,0.2777777777777778
identity,"(5,)",1000,lbgfs,ClusterCentroids,0.6933333333333334,0.6999999999999998,0.6866666666666665,0.31333333333333335,0.3,0.49666666666666676,0.5076190476190475,0.1633333333333333,0.16,0.16
identity,"(5,)",1000,lbgfs,EditedNearestNeighbours,0.7148412698412699,0.7544444444444446,0.6752380952380953,0.3247619047619048,0.24555555555555553,0.6144444444444445,0.5585714285714286,0.21857142857142856,0.15666666666666665,0.15666666666666665
identity,"(50, 50)",1000,lbgfs,ClusterCentroids,0.6922222222222222,0.6977777777777776,0.6866666666666665,0.31333333333333335,0.3022222222222222,0.49666666666666676,0.5085714285714286,0.1633333333333333,0.16,0.16
identity,"(5,)",1000,adam,ClusterCentroids,0.7018253968253968,0.7055555555555556,0.6980952380952381,0.3019047619047619,0.29444444444444445,0.47222222222222227,0.4923809523809524,0.1457142857142857,0.13333333333333333,0.13333333333333333
identity,"(50, 50)",1000,lbgfs,EditedNearestNeighbours,0.7153968253968254,0.7555555555555555,0.6752380952380953,0.3247619047619048,0.24444444444444446,0.6133333333333334,0.5590476190476191,0.2176190476190476,0.15666666666666665,0.15666666666666665
identity,"(5,)",1000,lbgfs,InstanceHardnessThreshold,0.6776190476190477,0.87,0.48523809523809525,0.5147619047619046,0.13,0.8477777777777779,0.4438095238095238,0.4647619047619047,0.10444444444444445,0.10444444444444445
