layers,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
"[(50, 'sigm')]",None,0.6466666666666666,0.4166666666666667,0.8766666666666666,0.12333333333333334,0.5833333333333334,0.10777777777777776,0.6166666666666667,0.01904761904761905,0.2288888888888889,0.2288888888888889
"[(20, 'sigm'), (2, 'rbf_l2')]",None,0.6096031746031746,0.2911111111111111,0.9280952380952381,0.0719047619047619,0.708888888888889,0.04111111111111111,0.6152380952380953,0.009523809523809525,0.2922222222222222,0.2922222222222222
"[(20, 'sigm'), (20, 'sigm')]",None,0.6430158730158729,0.39888888888888885,0.8871428571428571,0.11285714285714284,0.6011111111111112,0.09444444444444444,0.6390476190476191,0.01619047619047619,0.25222222222222224,0.25222222222222224
"[(20, 'lin'), (20, 'lin')]",None,0.6477777777777778,0.3888888888888889,0.9066666666666666,0.09333333333333332,0.6111111111111112,0.08444444444444443,0.6257142857142858,0.016190476190476193,0.24222222222222223,0.24222222222222223
"[(20, 'sigm'), (2, 'rbf_l2')]",ClusterCentroids,0.6467460317460317,0.681111111111111,0.6123809523809524,0.3876190476190476,0.3188888888888889,0.31777777777777777,0.2642857142857143,0.11904761904761905,0.10333333333333332,0.10333333333333332
"[(50, 'sigm')]",ClusterCentroids,0.6781746031746033,0.6711111111111111,0.6852380952380952,0.31476190476190474,0.32888888888888884,0.3755555555555555,0.3976190476190476,0.12047619047619047,0.12,0.12
"[(20, 'sigm'), (2, 'rbf_l2')]",EditedNearestNeighbours,0.6765873015873017,0.668888888888889,0.6842857142857142,0.31571428571428567,0.33111111111111113,0.35555555555555557,0.39285714285714296,0.11571428571428571,0.12444444444444445,0.12444444444444445
"[(50, 'sigm')]",EditedNearestNeighbours,0.685079365079365,0.6977777777777777,0.6723809523809524,0.32761904761904764,0.3022222222222222,0.4666666666666666,0.43476190476190485,0.15142857142857144,0.12333333333333334,0.12333333333333334
"[(20, 'sigm'), (20, 'sigm')]",ClusterCentroids,0.6784920634920635,0.6922222222222221,0.6647619047619048,0.3352380952380953,0.30777777777777776,0.3855555555555556,0.3857142857142857,0.11333333333333333,0.11888888888888889,0.11888888888888889
"[(20, 'sigm'), (20, 'sigm')]",EditedNearestNeighbours,0.689047619047619,0.71,0.6680952380952382,0.3319047619047619,0.29,0.44222222222222224,0.40619047619047616,0.1457142857142857,0.10777777777777779,0.10777777777777779
