layers,Data balancer,Matthews correlation coefficient,Cohen Kappa Score,Balanced Accuracy,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
"[(50, 'tanh')]",None,0.31427227765311216,0.30209368298717282,0.6361904761904763,0.3866666666666667,0.8857142857142857,0.11428571428571428,0.6133333333333334,0.09333333333333332,0.6138095238095239,0.013333333333333334,0.2588888888888889,0.2588888888888889,0.3002165158589681
"[(20, 'sigm'), (20, 'sigm')]",None,0.3195163850362594,0.30471043923818769,0.6360317460317461,0.37777777777777777,0.8942857142857142,0.10571428571428572,0.6222222222222222,0.08666666666666667,0.6257142857142858,0.017142857142857144,0.24666666666666667,0.24666666666666667,0.3142942587534587
"[(50, 'rbf_l2')]",None,0.34174260638873005,0.33412984031429832,0.6541269841269842,0.43444444444444447,0.8738095238095239,0.12619047619047621,0.5655555555555556,0.11222222222222222,0.6357142857142858,0.019523809523809527,0.24111111111111114,0.24111111111111114,0.29350709915161133
"[(20, 'lin'), (20, 'lin')]",None,0.35113802281379281,0.33301383909156929,0.6477777777777778,0.3888888888888889,0.9066666666666666,0.09333333333333332,0.6111111111111112,0.08444444444444443,0.6257142857142858,0.016190476190476193,0.24222222222222223,0.24222222222222223,0.27207573254903156
"[(50, 'rbf_l1')]",None,0.017193550936288722,0.0013927166336067758,0.5004761904761905,0.03,0.9709523809523809,0.029047619047619048,0.9700000000000001,0.006666666666666665,0.032857142857142856,0.0,0.014444444444444446,0.014444444444444446,0.3128647009531657
"[(20, 'sigm'), (2, 'rbf_l2')]",None,0.2868986475345211,0.26051576061138476,0.6115873015873016,0.3055555555555556,0.9176190476190476,0.08238095238095237,0.6944444444444445,0.04777777777777777,0.6252380952380953,0.009523809523809523,0.2677777777777778,0.2677777777777778,0.25627756118774414
"[(50, 'lin')]",None,0.37313526870626151,0.36465554168193143,0.668095238095238,0.45333333333333337,0.8828571428571429,0.11714285714285715,0.5466666666666666,0.13888888888888887,0.640952380952381,0.02,0.20444444444444443,0.20444444444444443,0.3098456859588623
"[(50, 'sigm')]",None,0.34305300442413994,0.33297516574412861,0.651984126984127,0.42111111111111116,0.8828571428571429,0.11714285714285715,0.5788888888888889,0.10888888888888888,0.631904761904762,0.015714285714285712,0.24555555555555553,0.24555555555555553,0.2665851910909017
"[(50, 'lin')]",ClusterCentroids,0.37063912374060776,0.35694155187130527,0.7000000000000001,0.7066666666666667,0.6933333333333334,0.30666666666666664,0.2933333333333333,0.41111111111111115,0.4185714285714286,0.11047619047619046,0.11777777777777777,0.11777777777777777,0.14257073402404785
"[(20, 'sigm'), (2, 'rbf_l2')]",ClusterCentroids,0.31203527810807186,0.29614577633763001,0.6693650793650793,0.6877777777777778,0.650952380952381,0.34904761904761905,0.31222222222222223,0.32,0.26904761904761904,0.09476190476190477,0.0922222222222222,0.0922222222222222,0.09200429916381836
"[(20, 'sigm'), (20, 'sigm')]",ClusterCentroids,0.31460705716716236,0.30191853698091875,0.6700793650793649,0.6711111111111111,0.669047619047619,0.33095238095238094,0.3288888888888889,0.3499999999999999,0.37571428571428567,0.11666666666666668,0.09999999999999999,0.09999999999999999,0.07865325609842937
"[(20, 'lin'), (20, 'lin')]",ClusterCentroids,0.329049383754421,0.31498820844457537,0.6780952380952382,0.6866666666666666,0.6695238095238096,0.3304761904761904,0.3133333333333333,0.3688888888888889,0.3780952380952381,0.09285714285714286,0.10444444444444445,0.10444444444444445,0.0924822489420573
"[(50, 'tanh')]",ClusterCentroids,0.29954940219703829,0.28600862856524034,0.6623015873015873,0.668888888888889,0.6557142857142857,0.3442857142857143,0.33111111111111113,0.3466666666666667,0.35761904761904767,0.12666666666666665,0.12111111111111111,0.12111111111111111,0.10663398106892903
"[(50, 'rbf_l1')]",ClusterCentroids,0.030537607395269336,0.029993057822185271,0.5161111111111111,0.3788888888888889,0.6533333333333333,0.3466666666666667,0.6211111111111112,0.01333333333333333,0.023333333333333334,0.002857142857142857,0.0044444444444444444,0.0044444444444444444,0.1155557632446289
"[(50, 'sigm')]",ClusterCentroids,0.33084410377584034,0.31575278823019226,0.6792857142857143,0.6933333333333334,0.6652380952380953,0.33476190476190476,0.3066666666666667,0.38999999999999996,0.37666666666666665,0.12238095238095237,0.10444444444444444,0.10444444444444444,0.12358927726745605
"[(50, 'rbf_l2')]",ClusterCentroids,0.31075899094546139,0.28904902337794386,0.6693650793650793,0.7177777777777777,0.620952380952381,0.37904761904761913,0.2822222222222222,0.4088888888888889,0.34380952380952384,0.15904761904761905,0.10777777777777776,0.10777777777777776,0.1209719181060791
"[(50, 'lin')]",EditedNearestNeighbours,0.40385226023964388,0.38435111807380901,0.7190476190476188,0.7533333333333334,0.6847619047619048,0.31523809523809526,0.24666666666666667,0.5022222222222222,0.4466666666666666,0.13809523809523808,0.10222222222222221,0.10222222222222221,0.07686797777811687
"[(20, 'sigm'), (2, 'rbf_l2')]",EditedNearestNeighbours,0.32869124592002724,0.31756361626954516,0.6769841269841269,0.6677777777777778,0.6861904761904762,0.3138095238095238,0.33222222222222225,0.3677777777777778,0.37857142857142856,0.10523809523809524,0.12111111111111111,0.12111111111111111,0.014979918797810873
"[(20, 'lin'), (20, 'lin')]",EditedNearestNeighbours,0.35740842095256387,0.34050114537374937,0.693809523809524,0.7166666666666667,0.670952380952381,0.3290476190476191,0.2833333333333333,0.46555555555555556,0.4309523809523809,0.13095238095238096,0.11333333333333333,0.11333333333333333,0.07583093643188477
"[(20, 'sigm'), (20, 'sigm')]",EditedNearestNeighbours,0.3639640141000034,0.34786298513845826,0.697063492063492,0.7155555555555555,0.6785714285714285,0.3214285714285714,0.28444444444444444,0.4155555555555555,0.41238095238095235,0.13619047619047617,0.10444444444444445,0.10444444444444445,0.06663958231608073
"[(50, 'tanh')]",EditedNearestNeighbours,0.33483485989073508,0.31949200348468387,0.6813492063492065,0.6955555555555555,0.6671428571428571,0.3328571428571429,0.30444444444444446,0.40888888888888886,0.41047619047619044,0.1457142857142857,0.10222222222222221,0.10222222222222221,0.050562143325805664
"[(50, 'sigm')]",EditedNearestNeighbours,0.38042227952419932,0.36209125870596442,0.7063492063492062,0.7355555555555555,0.6771428571428572,0.3228571428571429,0.2644444444444444,0.4733333333333334,0.4204761904761905,0.1433333333333333,0.09666666666666666,0.09666666666666666,0.07020155588785808
"[(50, 'rbf_l1')]",EditedNearestNeighbours,0.04135871096287308,0.040578158567478373,0.5215079365079366,0.3844444444444444,0.6585714285714287,0.34142857142857147,0.6155555555555555,0.013333333333333334,0.027619047619047623,0.0014285714285714286,0.005555555555555556,0.005555555555555556,0.04635103543599447
"[(50, 'rbf_l2')]",EditedNearestNeighbours,0.36742079137709061,0.35099629238284508,0.6989682539682539,0.7188888888888889,0.6790476190476191,0.32095238095238093,0.2811111111111111,0.4777777777777778,0.4185714285714286,0.1495238095238095,0.09555555555555555,0.09555555555555555,0.02812965710957845
"[(20, 'sigm'), (2, 'rbf_l2')]",InstanceHardnessThreshold,0.32651029525551095,0.28759275869490919,0.6773809523809523,0.7933333333333333,0.5614285714285715,0.4385714285714286,0.20666666666666667,0.54,0.28857142857142853,0.22,0.07555555555555556,0.07555555555555556,0.1394956906636556
"[(50, 'lin')]",InstanceHardnessThreshold,0.37306912469886927,0.32407524738509491,0.7020634920634921,0.8422222222222221,0.5619047619047618,0.4380952380952381,0.1577777777777778,0.6711111111111111,0.3619047619047619,0.2519047619047619,0.05333333333333334,0.05333333333333334,0.16043623288472494
"[(20, 'sigm'), (20, 'sigm')]",InstanceHardnessThreshold,0.33936174905967625,0.2954352609528163,0.6838888888888889,0.8144444444444444,0.5533333333333333,0.4466666666666666,0.18555555555555556,0.6177777777777778,0.33666666666666667,0.24380952380952378,0.06777777777777777,0.06777777777777777,0.12147140502929688
"[(50, 'sigm')]",InstanceHardnessThreshold,0.35910869094624048,0.30967348590688248,0.6941269841269841,0.8377777777777778,0.5504761904761905,0.4495238095238095,0.16222222222222224,0.6455555555555557,0.3347619047619048,0.25761904761904764,0.061111111111111116,0.061111111111111116,0.17260225613911948
"[(20, 'lin'), (20, 'lin')]",InstanceHardnessThreshold,0.34271513852510993,0.2971657739513015,0.6855555555555556,0.8211111111111111,0.5499999999999999,0.45,0.17888888888888888,0.6522222222222221,0.35999999999999993,0.2519047619047619,0.08333333333333333,0.08333333333333333,0.15207497278849283
"[(50, 'tanh')]",InstanceHardnessThreshold,0.33476764685603505,0.29106568104005764,0.6813492063492065,0.8122222222222222,0.5504761904761905,0.4495238095238096,0.18777777777777774,0.5944444444444444,0.3242857142857143,0.25,0.06555555555555555,0.06555555555555555,0.1566918690999349
"[(50, 'rbf_l1')]",InstanceHardnessThreshold,0.054365762260130034,0.048701287668170022,0.5293650793650793,0.581111111111111,0.4776190476190476,0.5223809523809524,0.4188888888888889,0.015555555555555553,0.023809523809523805,0.005238095238095237,0.0022222222222222222,0.0022222222222222222,0.14725915590922037
"[(50, 'rbf_l2')]",InstanceHardnessThreshold,0.34805423662899532,0.30375960103023553,0.6887301587301587,0.8188888888888889,0.5585714285714285,0.44142857142857145,0.1811111111111111,0.6488888888888888,0.33095238095238094,0.2561904761904762,0.05111111111111111,0.05111111111111111,0.14806135495503744
"[(20, 'sigm'), (2, 'rbf_l2')]",NearMiss,0.25375197129216676,0.23568173374506304,0.6383333333333333,0.6766666666666667,0.6,0.39999999999999997,0.3233333333333333,0.3877777777777777,0.259047619047619,0.15666666666666668,0.08,0.08,0.04809403419494629
"[(50, 'lin')]",NearMiss,0.33422187840780798,0.31543102479142776,0.6817460317460317,0.7144444444444443,0.649047619047619,0.35095238095238096,0.28555555555555556,0.43777777777777777,0.39952380952380956,0.17476190476190476,0.08,0.08,0.11124404271443684
"[(20, 'sigm'), (20, 'sigm')]",NearMiss,0.28686230978153587,0.26865764529119746,0.6561904761904763,0.69,0.6223809523809524,0.3776190476190476,0.31,0.39666666666666667,0.33809523809523806,0.17285714285714282,0.09555555555555555,0.09555555555555555,0.050921360651652016
"[(50, 'sigm')]",NearMiss,0.28690740436809464,0.2676286275327972,0.6563492063492063,0.6955555555555555,0.6171428571428571,0.38285714285714284,0.30444444444444446,0.4633333333333333,0.3466666666666667,0.1861904761904762,0.07555555555555554,0.07555555555555554,0.04214167594909668
"[(20, 'lin'), (20, 'lin')]",NearMiss,0.34327667963558506,0.32449237096157008,0.6865873015873016,0.7188888888888888,0.6542857142857142,0.3457142857142857,0.2811111111111111,0.3811111111111111,0.36761904761904757,0.13904761904761906,0.07888888888888888,0.07888888888888888,0.13586044311523438
"[(50, 'rbf_l1')]",NearMiss,0.040348349886048351,0.03987264601164664,0.5211111111111111,0.3955555555555556,0.6466666666666666,0.35333333333333333,0.6044444444444445,0.015555555555555553,0.030476190476190473,0.0019047619047619048,0.007777777777777777,0.007777777777777777,0.08050425847371419
"[(50, 'tanh')]",NearMiss,0.26708542366901877,0.24847838110749976,0.6455555555555555,0.6844444444444444,0.6066666666666668,0.39333333333333337,0.3155555555555556,0.4222222222222222,0.3357142857142857,0.17952380952380953,0.09333333333333334,0.09333333333333334,0.04901019732157389
"[(50, 'rbf_l2')]",NearMiss,0.29668545117893524,0.27515782385257564,0.6617460317460319,0.7111111111111109,0.6123809523809524,0.3876190476190476,0.2888888888888889,0.45888888888888896,0.36952380952380953,0.18904761904761905,0.10222222222222221,0.10222222222222221,0.05043673515319824
"[(20, 'sigm'), (2, 'rbf_l2')]",NeighbourhoodCleaningRule,0.34278494363022288,0.33885603231620215,0.6800793650793651,0.6177777777777779,0.7423809523809523,0.25761904761904764,0.38222222222222224,0.3,0.4190476190476191,0.07619047619047618,0.13888888888888887,0.13888888888888887,0.03577963511149088
"[(50, 'lin')]",NeighbourhoodCleaningRule,0.41418259048278822,0.40274319229601141,0.7220634920634921,0.7188888888888889,0.7252380952380952,0.27476190476190476,0.2811111111111111,0.4233333333333334,0.489047619047619,0.10666666666666667,0.11555555555555556,0.11555555555555556,0.022761027018229168
"[(20, 'sigm'), (20, 'sigm')]",NeighbourhoodCleaningRule,0.37311947502324844,0.36648301309681558,0.6980158730158729,0.6622222222222222,0.7338095238095238,0.2661904761904762,0.3377777777777778,0.35000000000000003,0.44047619047619047,0.09999999999999998,0.12444444444444443,0.12444444444444443,0.017665306727091473
