C,cache_size,class_weight,decision_function_shape,gamma,kernel,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
0.01,2048,,ovr,0.0001,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,ClusterCentroids,0.6326190476190475,0.7966666666666667,0.4685714285714286,0.5314285714285715,0.20333333333333334,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,ClusterCentroids,0.6807142857142857,0.7766666666666667,0.5847619047619047,0.41523809523809524,0.2233333333333333,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,ClusterCentroids,0.681031746031746,0.7377777777777778,0.6242857142857142,0.3757142857142857,0.2622222222222222,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,ClusterCentroids,0.6677777777777778,0.7255555555555556,0.61,0.38999999999999996,0.27444444444444444,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,EditedNearestNeighbours,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,EditedNearestNeighbours,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,EditedNearestNeighbours,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,EditedNearestNeighbours,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,InstanceHardnessThreshold,0.6569841269841269,0.5211111111111112,0.7928571428571428,0.20714285714285716,0.47888888888888886,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,InstanceHardnessThreshold,0.6823015873015873,0.8522222222222223,0.5123809523809523,0.4876190476190476,0.14777777777777779,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,InstanceHardnessThreshold,0.6895238095238095,0.7433333333333333,0.6357142857142858,0.3642857142857143,0.25666666666666665,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,InstanceHardnessThreshold,0.6748412698412699,0.6077777777777778,0.741904761904762,0.2580952380952381,0.39222222222222225,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,NearMiss,0.5677777777777778,0.2222222222222222,0.9133333333333334,0.08666666666666667,0.7777777777777778,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,NearMiss,0.5638095238095239,0.84,0.2876190476190476,0.7123809523809523,0.16,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,NearMiss,0.6020634920634921,0.648888888888889,0.5552380952380953,0.44476190476190486,0.3511111111111111,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,NearMiss,0.5877777777777777,0.34888888888888886,0.8266666666666668,0.17333333333333334,0.6511111111111111,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,NeighbourhoodCleaningRule,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,NeighbourhoodCleaningRule,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,NeighbourhoodCleaningRule,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,NeighbourhoodCleaningRule,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,OneSidedSelection,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,OneSidedSelection,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,OneSidedSelection,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,OneSidedSelection,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,RandomUnderSampler,0.6434920634920634,0.45888888888888885,0.8280952380952381,0.17190476190476192,0.5411111111111112,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,RandomUnderSampler,0.6834920634920635,0.6622222222222222,0.7047619047619048,0.29523809523809524,0.33777777777777773,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,RandomUnderSampler,0.6874603174603174,0.7511111111111112,0.6238095238095238,0.3761904761904762,0.24888888888888885,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,RandomUnderSampler,0.6613492063492064,0.5355555555555555,0.787142857142857,0.21285714285714286,0.4644444444444445,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,RandomOverSampler,0.6582539682539682,0.5122222222222222,0.8042857142857143,0.19571428571428573,0.4877777777777778,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,RandomOverSampler,0.6947619047619048,0.7833333333333333,0.6061904761904761,0.39380952380952383,0.21666666666666667,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,RandomOverSampler,0.686984126984127,0.6644444444444445,0.7095238095238096,0.29047619047619044,0.3355555555555556,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,RandomOverSampler,0.6584126984126984,0.5377777777777778,0.7790476190476191,0.22095238095238093,0.46222222222222215,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,SMOTE,0.6673809523809524,0.5766666666666667,0.758095238095238,0.24190476190476193,0.42333333333333334,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,SMOTE,0.6473809523809525,0.47,0.8247619047619047,0.17523809523809522,0.5299999999999999,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,SMOTE,0.6792063492063493,0.6755555555555555,0.6828571428571429,0.31714285714285717,0.3244444444444445,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,SMOTE,0.6699206349206349,0.6455555555555555,0.6942857142857143,0.30571428571428577,0.3544444444444445,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,SMOTEENN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,SMOTEENN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,SMOTEENN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,SMOTEENN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,SMOTETomek,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,SMOTETomek,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,SMOTETomek,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,SMOTETomek,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.15797894736842105,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,ClusterCentroids,0.6175396825396825,0.9322222222222222,0.3028571428571429,0.6971428571428572,0.06777777777777778,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,ClusterCentroids,0.5716666666666667,0.9499999999999998,0.19333333333333336,0.8066666666666666,0.049999999999999996,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,ClusterCentroids,0.5498412698412697,0.9644444444444445,0.13523809523809524,0.8647619047619047,0.035555555555555556,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,EditedNearestNeighbours,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
