alpha,binarize,fit_prior,Data balancer,Matthews correlation coefficient,Cohen Kappa Score,Balanced Accuracy,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff,
,,,ClusterCentroids,0.125275332,0.049520274,0.58430519,0.905603039,0.263007341,0.736992659,0.094396961,0.848433048,0.166704554,0.627421265,0.044824311,0.044824311,0.003223975
1,,TRUE,ClusterCentroids,0.330348923,0.303457067,0.71798397,0.616904084,0.819063857,0.180936143,0.383095916,0.549667616,0.763638803,0.136841108,0.35308642,0.35308642,0.002559344
1,,FALSE,ClusterCentroids,0.330348923,0.303457067,0.71798397,0.616904084,0.819063857,0.180936143,0.383095916,0.549667616,0.763638803,0.136841108,0.35308642,0.35308642,0.002542337
0.9,,FALSE,ClusterCentroids,0.329949642,0.302991026,0.717821368,0.616904084,0.818738653,0.181261347,0.383095916,0.549667616,0.763962428,0.137164733,0.35308642,0.35308642,0.002538999
0.9,,TRUE,ClusterCentroids,0.329949642,0.302991026,0.717821368,0.616904084,0.818738653,0.181261347,0.383095916,0.549667616,0.763962428,0.137164733,0.35308642,0.35308642,0.00254639
0.7,,FALSE,ClusterCentroids,0.329184061,0.302097597,0.717497744,0.616904084,0.818091404,0.181908596,0.383095916,0.549667616,0.762991554,0.137488357,0.35308642,0.35308642,0.002726078
0.7,,TRUE,ClusterCentroids,0.329184061,0.302097597,0.717497744,0.616904084,0.818091404,0.181908596,0.383095916,0.549667616,0.762991554,0.137488357,0.35308642,0.35308642,0.002743562
0.8,,FALSE,ClusterCentroids,0.329184061,0.302097597,0.717497744,0.616904084,0.818091404,0.181908596,0.383095916,0.549667616,0.763315179,0.137488357,0.35308642,0.35308642,0.002701441
0.8,,TRUE,ClusterCentroids,0.329184061,0.302097597,0.717497744,0.616904084,0.818091404,0.181908596,0.383095916,0.549667616,0.763315179,0.137488357,0.35308642,0.35308642,0.002621094
0.4,,TRUE,ClusterCentroids,0.328803651,0.301653867,0.717335142,0.616904084,0.817766201,0.182233799,0.383095916,0.547103514,0.762991554,0.138459231,0.35308642,0.35308642,0.002662579
0.4,,FALSE,ClusterCentroids,0.328803651,0.301653867,0.717335142,0.616904084,0.817766201,0.182233799,0.383095916,0.547103514,0.762991554,0.138459231,0.35308642,0.35308642,0.002607425
0.5,,TRUE,ClusterCentroids,0.328803651,0.301653867,0.717335142,0.616904084,0.817766201,0.182233799,0.383095916,0.549667616,0.763316757,0.137811982,0.35308642,0.35308642,0.002607981
0.5,,FALSE,ClusterCentroids,0.328803651,0.301653867,0.717335142,0.616904084,0.817766201,0.182233799,0.383095916,0.549667616,0.763316757,0.137811982,0.35308642,0.35308642,0.002581358
0.6,,TRUE,ClusterCentroids,0.328803651,0.301653867,0.717335142,0.616904084,0.817766201,0.182233799,0.383095916,0.549667616,0.762991554,0.137488357,0.35308642,0.35308642,0.002626022
0.6,,FALSE,ClusterCentroids,0.328803651,0.301653867,0.717335142,0.616904084,0.817766201,0.182233799,0.383095916,0.549667616,0.762991554,0.137488357,0.35308642,0.35308642,0.002623081
0.3,,TRUE,ClusterCentroids,0.328421658,0.301208152,0.71717333,0.616904084,0.817442576,0.182557424,0.383095916,0.547103514,0.762991554,0.138782856,0.35308642,0.35308642,0.002688567
0.3,,FALSE,ClusterCentroids,0.328421658,0.301208152,0.71717333,0.616904084,0.817442576,0.182557424,0.383095916,0.547103514,0.762991554,0.138782856,0.35308642,0.35308642,0.002652566
0.4,0,TRUE,TomekLinks,0.358676051,0.345918433,0.717090365,0.5671415,0.86703923,0.13296077,0.4328585,0.52962963,0.845312179,0.117710948,0.415479582,0.415479582,0.022716681
0.4,,TRUE,TomekLinks,0.358676051,0.345918433,0.717090365,0.5671415,0.86703923,0.13296077,0.4328585,0.52962963,0.845312179,0.117710948,0.415479582,0.415479582,0.03298529
0.5,,TRUE,TomekLinks,0.358676051,0.345918433,0.717090365,0.5671415,0.86703923,0.13296077,0.4328585,0.52962963,0.844986976,0.117710948,0.415479582,0.415479582,0.054947615
0.5,0,TRUE,TomekLinks,0.358676051,0.345918433,0.717090365,0.5671415,0.86703923,0.13296077,0.4328585,0.52962963,0.844986976,0.117710948,0.415479582,0.415479582,0.047285477
0.6,,TRUE,TomekLinks,0.358676051,0.345918433,0.717090365,0.5671415,0.86703923,0.13296077,0.4328585,0.527160494,0.844988555,0.117387323,0.415479582,0.415479582,0.03012085
0.6,0,TRUE,TomekLinks,0.358676051,0.345918433,0.717090365,0.5671415,0.86703923,0.13296077,0.4328585,0.527160494,0.844988555,0.117387323,0.415479582,0.415479582,0.022031784
0.7,,TRUE,TomekLinks,0.358190924,0.345361545,0.716927763,0.5671415,0.866714026,0.133285974,0.4328585,0.527160494,0.845312179,0.11706212,0.415479582,0.415479582,0.040554047
0.7,0,TRUE,TomekLinks,0.358190924,0.345361545,0.716927763,0.5671415,0.866714026,0.133285974,0.4328585,0.527160494,0.845312179,0.11706212,0.415479582,0.415479582,0.051201423
0.8,0,TRUE,TomekLinks,0.358190924,0.345361545,0.716927763,0.5671415,0.866714026,0.133285974,0.4328585,0.527160494,0.845635804,0.11706212,0.415479582,0.415479582,0.033322493
0.8,,TRUE,TomekLinks,0.358190924,0.345361545,0.716927763,0.5671415,0.866714026,0.133285974,0.4328585,0.527160494,0.845635804,0.11706212,0.415479582,0.415479582,0.034465392
0.2,,TRUE,ClusterCentroids,0.327662406,0.300322662,0.716849705,0.616904084,0.816795327,0.183204673,0.383095916,0.54957265,0.76266793,0.138782856,0.35308642,0.35308642,0.004232327
0.2,,FALSE,ClusterCentroids,0.327662406,0.300322662,0.716849705,0.616904084,0.816795327,0.183204673,0.383095916,0.54957265,0.76266793,0.138782856,0.35308642,0.35308642,0.002612352
1,,TRUE,TomekLinks,0.357701713,0.344801784,0.716765951,0.5671415,0.866390402,0.133609598,0.4328585,0.527160494,0.845310601,0.117387323,0.415479582,0.415479582,0.044270356
1,0,TRUE,TomekLinks,0.357701713,0.344801784,0.716765951,0.5671415,0.866390402,0.133609598,0.4328585,0.527160494,0.845310601,0.117387323,0.415479582,0.415479582,0.016818921
0.9,0,TRUE,TomekLinks,0.357222249,0.344253551,0.716604139,0.5671415,0.866066777,0.133933223,0.4328585,0.527160494,0.845635804,0.11706212,0.415479582,0.415479582,0.049146811
0.9,,TRUE,TomekLinks,0.357222249,0.344253551,0.716604139,0.5671415,0.866066777,0.133933223,0.4328585,0.527160494,0.845635804,0.11706212,0.415479582,0.415479582,0.019511541
0.1,,TRUE,TomekLinks,0.356354848,0.343680353,0.715694774,0.564672365,0.866717184,0.133282816,0.435327635,0.532098765,0.844988555,0.118036151,0.413010446,0.413010446,0.045790195
0.1,0,TRUE,TomekLinks,0.356354848,0.343680353,0.715694774,0.564672365,0.866717184,0.133282816,0.435327635,0.532098765,0.844988555,0.118036151,0.413010446,0.413010446,0.026516596
0.2,,TRUE,TomekLinks,0.356354848,0.343680353,0.715694774,0.564672365,0.866717184,0.133282816,0.435327635,0.532098765,0.844988555,0.118036151,0.413010446,0.413010446,0.019218842
0.2,0,TRUE,TomekLinks,0.356354848,0.343680353,0.715694774,0.564672365,0.866717184,0.133282816,0.435327635,0.532098765,0.844988555,0.118036151,0.413010446,0.413010446,0.031997442
0.3,,TRUE,TomekLinks,0.35634766,0.343668742,0.715693985,0.564672365,0.866715605,0.133284395,0.435327635,0.52962963,0.845312179,0.118036151,0.415479582,0.415479582,0.05341665
0.3,0,TRUE,TomekLinks,0.35634766,0.343668742,0.715693985,0.564672365,0.866715605,0.133284395,0.435327635,0.52962963,0.845312179,0.118036151,0.415479582,0.415479582,0.044357141
0.1,,FALSE,ClusterCentroids,0.325928208,0.298835269,0.715567654,0.614339981,0.816795327,0.183204673,0.385660019,0.54957265,0.763316757,0.139108059,0.35308642,0.35308642,0.00253733
0.1,,TRUE,ClusterCentroids,0.325928208,0.298835269,0.715567654,0.614339981,0.816795327,0.183204673,0.385660019,0.54957265,0.763316757,0.139108059,0.35308642,0.35308642,0.00250872
0.7,0,TRUE,SMOTEENN,0.334560909,0.312984891,0.7148764,0.594491928,0.835260873,0.164739127,0.405508072,0.567046534,0.798310837,0.14593417,0.383190883,0.383190883,0.023198525
0.8,0,TRUE,SMOTEENN,0.334560909,0.312984891,0.7148764,0.594491928,0.835260873,0.164739127,0.405508072,0.567046534,0.798310837,0.14593417,0.383190883,0.383190883,0.047928095
0.9,0,TRUE,SMOTEENN,0.334560909,0.312984891,0.7148764,0.594491928,0.835260873,0.164739127,0.405508072,0.567046534,0.798310837,0.14593417,0.383190883,0.383190883,0.037914117
1,0,TRUE,SMOTEENN,0.334560909,0.312984891,0.7148764,0.594491928,0.835260873,0.164739127,0.405508072,0.567046534,0.797985634,0.14593417,0.383190883,0.383190883,0.048491001
0.6,,TRUE,OneSidedSelection,0.353445281,0.340341727,0.714719164,0.564672365,0.864765964,0.135234036,0.435327635,0.534567901,0.845631068,0.116740074,0.420417854,0.420417854,0.011075338
0.6,0,TRUE,OneSidedSelection,0.353445281,0.340341727,0.714719164,0.564672365,0.864765964,0.135234036,0.435327635,0.534567901,0.845631068,0.116740074,0.420417854,0.420417854,0.02001373
0.2,,TRUE,OneSidedSelection,0.352967018,0.339793399,0.714558141,0.564672365,0.864443918,0.135556082,0.435327635,0.534567901,0.845954693,0.117387323,0.420417854,0.420417854,0.013068358
0.2,0,TRUE,OneSidedSelection,0.352967018,0.339793399,0.714558141,0.564672365,0.864443918,0.135556082,0.435327635,0.534567901,0.845954693,0.117387323,0.420417854,0.420417854,0.022165298
0.3,,TRUE,OneSidedSelection,0.352967018,0.339793399,0.714558141,0.564672365,0.864443918,0.135556082,0.435327635,0.534567901,0.846279896,0.117387323,0.420417854,0.420417854,0.014421781
0.3,0,TRUE,OneSidedSelection,0.352967018,0.339793399,0.714558141,0.564672365,0.864443918,0.135556082,0.435327635,0.534567901,0.846279896,0.117387323,0.420417854,0.420417854,0.017852068
0.4,,TRUE,OneSidedSelection,0.352967018,0.339793399,0.714558141,0.564672365,0.864443918,0.135556082,0.435327635,0.534567901,0.84660352,0.117063699,0.420417854,0.420417854,0.024109205
0.4,0,TRUE,OneSidedSelection,0.352967018,0.339793399,0.714558141,0.564672365,0.864443918,0.135556082,0.435327635,0.534567901,0.84660352,0.117063699,0.420417854,0.420417854,0.012826284
0.5,,TRUE,OneSidedSelection,0.352968228,0.339793337,0.714557352,0.564672365,0.86444234,0.13555766,0.435327635,0.534567901,0.846278317,0.117063699,0.420417854,0.420417854,0.015984058
0.5,0,TRUE,OneSidedSelection,0.352968228,0.339793337,0.714557352,0.564672365,0.86444234,0.13555766,0.435327635,0.534567901,0.846278317,0.117063699,0.420417854,0.420417854,0.02090462
0.9,0,TRUE,OneSidedSelection,0.352967342,0.339796449,0.714557352,0.564672365,0.86444234,0.13555766,0.435327635,0.532098765,0.845956271,0.1157692,0.420417854,0.420417854,0.010109504
0.9,,TRUE,OneSidedSelection,0.352967342,0.339796449,0.714557352,0.564672365,0.86444234,0.13555766,0.435327635,0.532098765,0.845956271,0.1157692,0.420417854,0.420417854,0.014405648
1,,TRUE,OneSidedSelection,0.352967342,0.339796449,0.714557352,0.564672365,0.86444234,0.13555766,0.435327635,0.532098765,0.845956271,0.115445576,0.420417854,0.420417854,0.01183637
1,0,TRUE,OneSidedSelection,0.352967342,0.339796449,0.714557352,0.564672365,0.86444234,0.13555766,0.435327635,0.532098765,0.845956271,0.115445576,0.420417854,0.420417854,0.02153039
0.7,,TRUE,OneSidedSelection,0.352968228,0.339793337,0.714556563,0.564672365,0.864440761,0.135559239,0.435327635,0.534567901,0.845631068,0.11641645,0.420417854,0.420417854,0.022291422
0.7,0,TRUE,OneSidedSelection,0.352968228,0.339793337,0.714556563,0.564672365,0.864440761,0.135559239,0.435327635,0.534567901,0.845631068,0.11641645,0.420417854,0.420417854,0.044491291
0.8,,TRUE,OneSidedSelection,0.352968228,0.339793337,0.714556563,0.564672365,0.864440761,0.135559239,0.435327635,0.534567901,0.845631068,0.11641645,0.420417854,0.420417854,0.025292953
0.8,0,TRUE,OneSidedSelection,0.352968228,0.339793337,0.714556563,0.564672365,0.864440761,0.135559239,0.435327635,0.534567901,0.845631068,0.11641645,0.420417854,0.420417854,0.031635602
0.1,,TRUE,None,0.354590513,0.342483977,0.713826983,0.559639126,0.868014839,0.131985161,0.440360874,0.527160494,0.846284632,0.115439261,0.415479582,0.415479582,0.286144018
0.1,0,TRUE,None,0.354590513,0.342483977,0.713826983,0.559639126,0.868014839,0.131985161,0.440360874,0.527160494,0.846284632,0.115439261,0.415479582,0.415479582,0.271190643
0.2,,TRUE,None,0.354590513,0.342483977,0.713826983,0.559639126,0.868014839,0.131985161,0.440360874,0.527160494,0.846608256,0.115114058,0.415479582,0.415479582,0.132276932
0.2,0,TRUE,None,0.354590513,0.342483977,0.713826983,0.559639126,0.868014839,0.131985161,0.440360874,0.527160494,0.846608256,0.115114058,0.415479582,0.415479582,0.043962002
0.1,0,TRUE,EditedNearestNeighbours,0.340509865,0.322781504,0.713744818,0.579582146,0.847907491,0.152092509,0.420417854,0.559639126,0.830068672,0.137174205,0.400569801,0.400569801,0.025969585
0.1,,TRUE,EditedNearestNeighbours,0.340509865,0.322781504,0.713744818,0.579582146,0.847907491,0.152092509,0.420417854,0.559639126,0.830068672,0.137174205,0.400569801,0.400569801,0.023111025
0.9,,TRUE,None,0.356156989,0.344657674,0.713679196,0.557075024,0.870283369,0.129716631,0.442924976,0.524596391,0.847255506,0.114141605,0.415479582,0.415479582,0.099937121
0.9,0,TRUE,None,0.356156989,0.344657674,0.713679196,0.557075024,0.870283369,0.129716631,0.442924976,0.524596391,0.847255506,0.114141605,0.415479582,0.415479582,0.119950851
0.3,0,TRUE,SMOTEENN,0.332784981,0.311415241,0.713594349,0.591927825,0.835260873,0.164739127,0.408072175,0.567046534,0.798310837,0.146257795,0.38328585,0.38328585,0.024756193
0.4,0,TRUE,SMOTEENN,0.332784981,0.311415241,0.713594349,0.591927825,0.835260873,0.164739127,0.408072175,0.567046534,0.798310837,0.14593417,0.380721747,0.380721747,0.027080218
0.5,0,TRUE,SMOTEENN,0.332784981,0.311415241,0.713594349,0.591927825,0.835260873,0.164739127,0.408072175,0.567046534,0.798310837,0.14593417,0.380721747,0.380721747,0.029656092
0.6,0,TRUE,SMOTEENN,0.332784981,0.311415241,0.713594349,0.591927825,0.835260873,0.164739127,0.408072175,0.567046534,0.798310837,0.14593417,0.380721747,0.380721747,0.028726419
0.3,0,TRUE,EditedNearestNeighbours,0.340072791,0.322272016,0.713583006,0.579582146,0.847583866,0.152416134,0.420417854,0.559639126,0.829096219,0.137172626,0.398100665,0.398100665,0.048465172
0.3,,TRUE,EditedNearestNeighbours,0.340072791,0.322272016,0.713583006,0.579582146,0.847583866,0.152416134,0.420417854,0.559639126,0.829096219,0.137172626,0.398100665,0.398100665,0.035035928
0.4,0,TRUE,EditedNearestNeighbours,0.340072791,0.322272016,0.713583006,0.579582146,0.847583866,0.152416134,0.420417854,0.559639126,0.829096219,0.136849001,0.398100665,0.398100665,0.031529506
0.4,,TRUE,EditedNearestNeighbours,0.340072791,0.322272016,0.713583006,0.579582146,0.847583866,0.152416134,0.420417854,0.559639126,0.829096219,0.136849001,0.398100665,0.398100665,0.02608482
0.8,,TRUE,None,0.355662545,0.344098248,0.713517384,0.557075024,0.869959744,0.130040256,0.442924976,0.524596391,0.847255506,0.114141605,0.415479582,0.415479582,0.103347699
0.8,0,TRUE,None,0.355662545,0.344098248,0.713517384,0.557075024,0.869959744,0.130040256,0.442924976,0.524596391,0.847255506,0.114141605,0.415479582,0.415479582,0.101258357
1,,TRUE,None,0.355662545,0.344098248,0.713517384,0.557075024,0.869959744,0.130040256,0.442924976,0.522127255,0.847255506,0.113817981,0.415479582,0.415479582,0.138958136
1,0,TRUE,None,0.355662545,0.344098248,0.713517384,0.557075024,0.869959744,0.130040256,0.442924976,0.522127255,0.847255506,0.113817981,0.415479582,0.415479582,0.106739362
0.2,,TRUE,EditedNearestNeighbours,0.339634841,0.321768661,0.713421194,0.579582146,0.847260242,0.152739758,0.420417854,0.559639126,0.829419844,0.136849001,0.400569801,0.400569801,0.01624457
0.2,0,TRUE,EditedNearestNeighbours,0.339634841,0.321768661,0.713421194,0.579582146,0.847260242,0.152739758,0.420417854,0.559639126,0.829419844,0.136849001,0.400569801,0.400569801,0.015059789
