layers,Data balancer,Matthews correlation coefficient,Cohen Kappa Score,Balanced Accuracy,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff,
"[(100, 'lin'), (100, 'lin')]",None,0.169316057,0.105897593,0.533057862,0.074548908,0.991566817,0.008433183,0.925451092,0,0.920233641,0,0.545204179,0.545204179,0.237494389
"[(100, 'lin'), (100, 'lin')]",ClusterCentroids,0.264228972,0.226882619,0.687287052,0.619373219,0.755200884,0.244799116,0.380626781,0.323361823,0.367405478,0.060299945,0.144159544,0.144159544,0.149024487
"[(100, 'lin'), (100, 'lin')]",EditedNearestNeighbours,0.323488812,0.322072167,0.650638166,0.365147198,0.936129134,0.063870866,0.634852802,0.134283001,0.859276975,0.017838819,0.442735043,0.442735043,0.134531339
"[(100, 'lin'), (100, 'lin')]",InstanceHardnessThreshold,0.145841955,0.083824773,0.613142363,0.766096866,0.46018786,0.53981214,0.233903134,0.51699905,0.214051622,0.263234667,0.099525166,0.099525166,0.183441957
"[(100, 'lin'), (100, 'lin')]",NearMiss,0.149538661,0.088527696,0.6162981,0.75337132,0.47922488,0.52077512,0.24662868,0.581766382,0.272979714,0.271773621,0.089553656,0.089553656,0.049643437
"[(100, 'lin'), (100, 'lin')]",NeighbourhoodCleaningRule,0.316689749,0.313641151,0.642302752,0.342640076,0.941965427,0.058034573,0.657359924,0.109116809,0.863174678,0.01200884,0.450332384,0.450332384,0.058946371
"[(100, 'lin'), (100, 'lin')]",OneSidedSelection,0.223149721,0.171414239,0.557582742,0.129439696,0.985725787,0.014274213,0.870560304,0,0.9059689,0.000650407,0.5328585,0.5328585,0.07875371
"[(100, 'lin'), (100, 'lin')]",RandomUnderSampler,0.279333206,0.242333546,0.696194007,0.626780627,0.765607388,0.234392612,0.373219373,0.415194682,0.434844108,0.086232536,0.121842355,0.121842355,0.180270672
"[(100, 'lin'), (100, 'lin')]",TomekLinks,0.205185528,0.150567934,0.549354545,0.111680912,0.987028179,0.012971821,0.888319088,0,0.90921304,0.000650407,0.537796771,0.537796771,0.061239719
"[(100, 'lin'), (100, 'lin')]",ADASYN,0.300581476,0.269437633,0.704433513,0.614434948,0.794432078,0.205567922,0.385565052,0.37037037,0.421877023,0.057376273,0.104463438,0.104463438,0.373387416
"[(100, 'lin'), (100, 'lin')]",RandomOverSampler,0.292026296,0.259036092,0.700815291,0.616904084,0.784726498,0.215273502,0.383095916,0.402564103,0.478302944,0.068726813,0.13960114,0.13960114,0.22249945
