C,cache_size,class_weight,decision_function_shape,gamma,kernel,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
0.01,2048,,ovo,0.001,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,auto,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.211421053,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,auto,rbf,ClusterCentroids,0.704994557,0.548148148,0.861840966,0.138159034,0.451851852,0,0,0,0,0
0.01,2048,,ovo,0.001,rbf,ClusterCentroids,0.704641359,0.54329806,0.865984659,0.134015341,0.45670194,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,ClusterCentroids,0.708525101,0.565079365,0.851970836,0.148029164,0.434920635,0,0,0,0,0
0.01,2048,,ovo,0.211421053,rbf,ClusterCentroids,0.711107229,0.591887125,0.830327333,0.169672667,0.408112875,0,0,0,0,0
0.01,2048,,ovo,auto,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.001,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.211421053,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,auto,rbf,InstanceHardnessThreshold,0.653755896,0.433950617,0.873561176,0.126438824,0.566049383,0,0,0,0,0
0.01,2048,,ovo,0.001,rbf,InstanceHardnessThreshold,0.656578821,0.433862434,0.879295208,0.120704792,0.566137566,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,InstanceHardnessThreshold,0.655197885,0.460405644,0.849990127,0.150009873,0.539594356,0,0,0,0,0
0.01,2048,,ovo,0.211421053,rbf,InstanceHardnessThreshold,0.619417188,0.527954145,0.710880231,0.289119769,0.472045855,0,0,0,0,0
0.01,2048,,ovo,auto,rbf,NearMiss,0.707149313,0.581746032,0.832552594,0.167447406,0.418253968,0,0,0,0,0
0.01,2048,,ovo,0.001,rbf,NearMiss,0.707010624,0.560141093,0.853880155,0.146119845,0.439858907,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,NearMiss,0.689030067,0.65696649,0.721093643,0.278906357,0.34303351,0,0,0,0,0
0.01,2048,,ovo,0.211421053,rbf,NearMiss,0.65427947,0.831393298,0.477165641,0.522834359,0.168606702,0,0,0,0,0
0.01,2048,,ovo,auto,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.001,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.211421053,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,auto,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,auto,rbf,RandomUnderSampler,0.705433196,0.545855379,0.865011012,0.134988988,0.454144621,0,0,0,0,0
0.01,2048,,ovo,0.001,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.001,rbf,RandomUnderSampler,0.703729273,0.538624339,0.868834207,0.131165793,0.461375661,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,RandomUnderSampler,0.708191565,0.587037037,0.829346093,0.170653907,0.412962963,0,0,0,0,0
0.01,2048,,ovo,0.211421053,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.211421053,rbf,RandomUnderSampler,0.704238332,0.654938272,0.753538391,0.246461609,0.345061728,0,0,0,0,0
0.01,2048,,ovo,auto,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.001,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.211421053,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,auto,rbf,ADASYN,0.597807102,0.647001764,0.54861244,0.45138756,0.352998236,0,0,0,0,0
0.01,2048,,ovo,0.001,rbf,ADASYN,0.511507937,0.697619048,0.325396825,0.674603175,0.302380952,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,ADASYN,0.707800435,0.633068783,0.782532088,0.217467912,0.366931217,0,0,0,0,0
0.01,2048,,ovo,0.211421053,rbf,ADASYN,0.650280246,0.773015873,0.527544619,0.472455381,0.226984127,0,0,0,0,0
0.01,2048,,ovo,auto,rbf,RandomOverSampler,0.710628423,0.562610229,0.858646617,0.141353383,0.437389771,0,0,0,0,0
0.01,2048,,ovo,0.001,rbf,RandomOverSampler,0.709911395,0.557671958,0.862150832,0.137849168,0.442328042,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,RandomOverSampler,0.706947883,0.589329806,0.82456596,0.17543404,0.410670194,0,0,0,0,0
0.01,2048,,ovo,0.211421053,rbf,RandomOverSampler,0.700907867,0.649823633,0.751992101,0.248007899,0.350176367,0,0,0,0,0
0.01,2048,,ovo,auto,rbf,SMOTE,0.709986667,0.567372134,0.8526012,0.1473988,0.432627866,0,0,0,0,0
0.01,2048,,ovo,0.001,rbf,SMOTE,0.709351746,0.567372134,0.851331359,0.148668641,0.432627866,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,SMOTE,0.707906931,0.574691358,0.841122503,0.158877497,0.425308642,0,0,0,0,0
0.01,2048,,ovo,0.211421053,rbf,SMOTE,0.704161751,0.591710758,0.816612744,0.183387256,0.408289242,0,0,0,0,0
0.01,2048,,ovo,auto,rbf,SMOTEENN,0.50517181,0.012257496,0.998086124,0.001913876,0.987742504,0,0,0,0,0
0.01,2048,,ovo,0.001,rbf,SMOTEENN,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,SMOTEENN,0.651990161,0.372134039,0.931846282,0.068153718,0.627865961,0,0,0,0,0
0.01,2048,,ovo,0.211421053,rbf,SMOTEENN,0.550070884,0.121164021,0.978977747,0.021022253,0.878835979,0,0,0,0,0
0.01,2048,,ovo,auto,rbf,SMOTETomek,0.703713028,0.550705467,0.856720589,0.143279411,0.449294533,0,0,0,0,0
0.01,2048,,ovo,0.001,rbf,SMOTETomek,0.694194535,0.526895944,0.861493127,0.138506873,0.473104056,0,0,0,0,0
0.01,2048,,ovo,0.316631579,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,SMOTETomek,0.707665797,0.57707231,0.838259285,0.161740715,0.42292769,0,0,0,0,0
0.01,2048,,ovo,0.421842105,rbf,None,0.5,0,1,0,1,0,0,0,0,0
