algorithm,base_estimator,learning_rate,n_estimators,Data balancer,Matthews correlation coefficient,Cohen Kappa score,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,5,None,0.59749733295390628,0.55646409204161351,0.7674923872828073,0.5688877137317117,0.9660970608339028,0.03390293916609706,0.4311122862682884,0.0,0.0017316017316017316,0.0,0.0,0.0
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.505,5,None,0.68869491240326441,0.68598701361680503,0.8396801429804018,0.7792349726775956,0.900125313283208,0.09987468671679196,0.22076502732240436,0.0,0.0,0.0,0.0,0.0
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,20,None,0.61722542405449654,0.58877688710480058,0.7849545080430994,0.6177331218050414,0.9521758942811575,0.047824105718842554,0.3822668781949586,0.0,0.0,0.0,0.0,0.0
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.505,20,None,0.69422616821148708,0.69339525193118645,0.848356586263987,0.8532522474881015,0.8434609250398726,0.1565390749601276,0.14674775251189848,0.0,0.0,0.0,0.0,0.0
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.505,50,None,0.69296035776222953,0.69274441133675069,0.847316981820447,0.8424466772430813,0.8521872863978128,0.14781271360218728,0.15755332275691875,0.0,0.0,0.0,0.0,0.0
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,50,None,0.66573513143458329,0.65071998551124455,0.8178809994314183,0.6957870615194782,0.9399749373433585,0.0600250626566416,0.3042129384805218,0.0,0.0,0.0,0.0,0.0
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,75,None,0.70445728420926834,0.69837936865841022,0.8441910235663191,0.7631940772078266,0.9251879699248121,0.07481203007518797,0.23680592279217347,0.0,0.0,0.0,0.0,0.0
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,100,None,0.71183012458776496,0.71058021416360606,0.8529920120237134,0.8077384100123391,0.8982456140350878,0.10175438596491226,0.19226158998766082,0.0,0.0,0.0,0.0,0.0
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.01,5,ClusterCentroids,0.72057140533965625,0.72023325560193774,0.8613068083168837,0.8609025207121453,0.8617110959216223,0.13828890407837777,0.13909747928785474,0.0,0.0,0.0,0.0,0.0
SAMME,"BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True)",0.505,5,ClusterCentroids,0.72171106844131871,0.72129753451264966,0.8619579903800171,0.863070685704213,0.8608452950558213,0.13915470494417861,0.13692931429578706,0.0,0.0,0.0,0.0,0.0
