layers,Data balancer,Matthews correlation coefficient,Cohen Kappa Score,Balanced Accuracy,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
"[(20, 'sigm'), (2, 'rbf_l2')]",None,0.706282109099995,0.70577005750577781,0.8541906422225941,0.855385157764851,0.8529961266803371,0.14700387331966278,0.14461484223514895,0.5959457077384099,0.7285714285714286,0.058282068808384595,0.06735413361537107,0.06735413361537107,0.26508641242980957
"[(20, 'sigm'), (20, 'sigm')]",None,0.71321709671285838,0.71039855348816605,0.8586915102765807,0.8869205006169575,0.8304625199362041,0.16953748006379588,0.1130794993830425,0.6687290675127798,0.7582023239917977,0.07393483709273181,0.059721487748986425,0.059721487748986425,0.2887407938639323
"[(50, 'lin')]",None,0.72680424811227129,0.7182580440751668,0.8653399218444169,0.9272166402256302,0.8034632034632034,0.19653679653679654,0.07278335977436982,0.7220518244315177,0.7729437229437229,0.07566643882433356,0.05757095011457782,0.05757095011457782,0.3182384173075358
"[(50, 'rbf_l1')]",None,0.33318728629436173,0.29692371912412641,0.6422135304368319,0.3966508020447735,0.8877762588288904,0.1122237411711096,0.6033491979552265,0.03800458311299137,0.16176805650489862,0.0095352016404648,0.03033668253128856,0.03033668253128856,0.22415932019551596
"[(50, 'rbf_l2')]",None,0.71200371664252826,0.70872043371069759,0.8581270191487563,0.8902344438568658,0.8260195944406471,0.17398040555935293,0.10976555614313414,0.6653622421998943,0.7573593073593073,0.06434267486899066,0.06626123744050767,0.06626123744050767,0.2074450651804606
"[(50, 'tanh')]",None,0.69014015007509977,0.6889735118086473,0.8466240296669755,0.8576590869028733,0.8355889724310778,0.1644110275689223,0.14234091309712674,0.641582936717786,0.7278081567555251,0.06867167919799498,0.07063282213996122,0.07063282213996122,0.28395819664001465
"[(20, 'lin'), (20, 'lin')]",None,0.49484024735670146,0.48572689439649402,0.7378510576233864,0.616622598272519,0.8590795169742537,0.1409204830257462,0.3833774017274811,0.35055526176626123,0.4959216222374117,0.018284347231715653,0.11389035783536049,0.11389035783536049,0.3817872206370036
"[(50, 'sigm')]",None,0.70282170530458432,0.69984817161712265,0.8534884245612347,0.8826546800634585,0.8243221690590111,0.17567783094098885,0.11734531993654151,0.661061166931077,0.7581909318751424,0.06523125996810207,0.06624361008284858,0.06624361008284858,0.32003140449523926
"[(20, 'lin'), (20, 'lin')]",ClusterCentroids,0.46035360200197256,0.46034418006648198,0.7303025182300976,0.7025735942182267,0.7580314422419686,0.24196855775803142,0.2974264057817733,0.3821434866913449,0.40896559580770103,0.0182615629984051,0.07919971796227745,0.07919971796227745,0.15692957242329916
"[(50, 'tanh')]",ClusterCentroids,0.6849859764659243,0.68347155177809604,0.8442423302619803,0.8598448792526,0.8286397812713603,0.1713602187286398,0.14015512074739997,0.6546271813855103,0.7034176349965823,0.07477785372522214,0.06518596862330336,0.06518596862330336,0.1049789587656657
