Data balancer,Matthews correlation coefficient,Cohen Kappa score,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
None,0.56252313423800304,0.5152025115912227,0.7576012557956112,0.5796932839767318,0.9355092276144908,0.06449077238550922,0.42030671602326813,0.5536400493566015,0.9311574390521759,0.059295967190704034,0.40074034902168165,0.40074034902168165,0.004008201342154886
ClusterCentroids,0.55761313265015122,0.5065225259678209,0.7532612629839104,0.5666842940243257,0.939838231943495,0.060161768056504895,0.43331570597567426,0.5482813326282391,0.9337434495329232,0.052335383914331284,0.4072272166402256,0.4072272166402256,0.004352523295589587
EditedNearestNeighbours,0.66256998669428258,0.6564143098961769,0.8282071549480885,0.7782302132910277,0.8781840966051492,0.12181590339485077,0.2217697867089723,0.7586814736471003,0.8729551150603783,0.11747550694919116,0.21743345672483694,0.21743345672483694,0.006051694779519797
InstanceHardnessThreshold,0.70390302250180647,0.7067060890532181,0.853353044526609,0.9250132205182443,0.7816928685349738,0.21830713146502623,0.07498677948175568,0.9228274281685175,0.7808156755525176,0.21830713146502623,0.07498677948175568,0.07498677948175568,0.0036947697578095053
NearMiss,0.46833266702504633,0.3995170971513202,0.69975854857566,0.4570245020271462,0.942492595124174,0.057507404875825924,0.5429754979728539,0.4483165873435572,0.9416154021417179,0.05402141717931191,0.5353428521064693,0.5353428521064693,0.005538532312887885
NeighbourhoodCleaningRule,0.60291699674458221,0.5766488296603245,0.7883244148301624,0.6654503789881897,0.9111984506721349,0.08880154932786512,0.33454962101181035,0.656777719019919,0.9094668489405331,0.08531556163135111,0.31935483870967746,0.31935483870967746,0.006472991102176214
OneSidedSelection,0.55975482960990808,0.5119040389782686,0.7559520194891344,0.5763264586638462,0.9355775803144223,0.06442241968557759,0.4236735413361537,0.5513837475762383,0.9321143768512189,0.06008202323991798,0.406292966684294,0.406292966684294,0.005171973319950969
RandomUnderSampler,0.47738097794698636,0.41522637418988556,0.7076131870949428,0.47972853869205007,0.9354978354978355,0.0645021645021645,0.5202714613079499,0.46349374228803103,0.9337662337662337,0.06277056277056277,0.5061166931077031,0.5061166931077031,0.003533073270925039
TomekLinks,0.56519490768922986,0.5167048612830571,0.7583524306415285,0.5785298783712322,0.938174982911825,0.061825017088174984,0.4214701216287679,0.560056407544509,0.9347117794486216,0.05663021189336979,0.4008637405252952,0.4008637405252952,0.00441198976902039
ADASYN,0.51908505237731151,0.4675848917519991,0.7337924458759995,0.5372818614489687,0.9303030303030303,0.06969696969696969,0.4627181385510313,0.5199012867971091,0.9268398268398269,0.06708817498291182,0.44752335624889833,0.44752335624889833,0.004294867982631938
RandomOverSampler,0.55781796267101924,0.513245983330038,0.756622991665019,0.582954345143663,0.930291638186375,0.06970836181362498,0.41704565485633704,0.5612198131500087,0.9276942355889725,0.06015037593984962,0.3952934955050238,0.3952934955050238,0.0038305062609348775
SMOTE,0.57642417156815251,0.5330196495035483,0.7665098247517741,0.5992420236206594,0.933777625882889,0.06622237411711095,0.4007579763793407,0.5883835713026618,0.9285486443381178,0.06361357940305308,0.3779658029261414,0.3779658029261414,0.006169923386399508
SMOTEENN,0.65008642182545995,0.6281525709856585,0.8140762854928293,0.7090252071214526,0.919127363864206,0.08087263613579403,0.2909747928785475,0.6959633350960691,0.9173729778992937,0.07653223969013442,0.28126211880839064,0.28126211880839064,0.004663439377812513
SMOTETomek,0.59599882267306248,0.5591953057009139,0.7795976528504568,0.6306010928961748,0.9285942128047391,0.07140578719526088,0.3693989071038251,0.6045302309183853,0.9268626110731374,0.06618819776714513,0.34879252600035254,0.34879252600035254,0.005818759267488834
