C,cache_size,class_weight,decision_function_shape,kernel,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
0.01,2048,,ovr,linear,None,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.01,2048,balanced,ovr,linear,None,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,,ovr,linear,None,0.8611965168437656,0.9250132205182444,0.7973798131692869,0.20262018683071314,0.07498677948175568,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,balanced,ovr,linear,None,0.8633751190870788,0.9337563899171514,0.7929938482570061,0.20700615174299383,0.06624361008284858,0.0,0.0,0.0,0.0,0.0
0.01,2048,balanced,ovr,linear,ClusterCentroids,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,linear,ClusterCentroids,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,balanced,ovr,linear,ClusterCentroids,0.8625139298898657,0.9294024325753569,0.7956254272043747,0.20437457279562543,0.07059756742464306,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,,ovr,linear,ClusterCentroids,0.8625139298898657,0.9294024325753569,0.7956254272043747,0.20437457279562543,0.07059756742464306,0.0,0.0,0.0,0.0,0.0
0.01,2048,balanced,ovr,linear,EditedNearestNeighbours,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,linear,EditedNearestNeighbours,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,balanced,ovr,linear,EditedNearestNeighbours,0.8645639355588143,0.9369998237264235,0.7921280473912055,0.20787195260879468,0.06300017627357658,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,,ovr,linear,EditedNearestNeighbours,0.8651015699674165,0.9380750925436278,0.7921280473912055,0.20787195260879468,0.06192490745637228,0.0,0.0,0.0,0.0,0.0
0.01,2048,balanced,ovr,linear,InstanceHardnessThreshold,0.8620680137678941,0.9250132205182444,0.7991228070175439,0.20087719298245613,0.0749867794817557,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,linear,InstanceHardnessThreshold,0.8620680137678941,0.9250132205182444,0.7991228070175439,0.20087719298245613,0.0749867794817557,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,balanced,ovr,linear,InstanceHardnessThreshold,0.8618508165274008,0.9271990128679711,0.7965026201868307,0.2034973798131693,0.07280098713202891,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,,ovr,linear,InstanceHardnessThreshold,0.8618508165274008,0.9271990128679711,0.7965026201868307,0.2034973798131693,0.07280098713202891,0.0,0.0,0.0,0.0,0.0
0.01,2048,balanced,ovr,linear,NearMiss,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,linear,NearMiss,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,balanced,ovr,linear,NearMiss,0.8623972646148325,0.9282919090428345,0.7965026201868307,0.2034973798131693,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,,ovr,linear,NearMiss,0.8623972646148325,0.9282919090428345,0.7965026201868307,0.2034973798131693,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.01,2048,balanced,ovr,linear,NeighbourhoodCleaningRule,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,linear,NeighbourhoodCleaningRule,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,balanced,ovr,linear,NeighbourhoodCleaningRule,0.8655344704003168,0.9380750925436278,0.7929938482570064,0.20700615174299383,0.06192490745637228,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,,ovr,linear,NeighbourhoodCleaningRule,0.8656480180548481,0.939167988718491,0.7921280473912055,0.20787195260879468,0.06083201128150891,0.0,0.0,0.0,0.0,0.0
0.01,2048,balanced,ovr,linear,OneSidedSelection,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.01,2048,balanced,ovr,linear,RandomUnderSampler,0.8636026240544874,0.9272166402256302,0.7999886078833448,0.20001139211665528,0.07278335977436982,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,linear,OneSidedSelection,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,linear,RandomUnderSampler,0.8636026240544874,0.9272166402256302,0.7999886078833448,0.20001139211665528,0.07278335977436982,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,balanced,ovr,linear,OneSidedSelection,0.8645551218799848,0.9369821963687643,0.7921280473912052,0.20787195260879468,0.06301780363123567,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,balanced,ovr,linear,RandomUnderSampler,0.8659210854644904,0.9283447911158117,0.8034973798131694,0.1965026201868307,0.07165520888418826,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,,ovr,linear,OneSidedSelection,0.8640174874713825,0.9359069275515601,0.7921280473912052,0.20787195260879468,0.06409307244843998,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,,ovr,linear,RandomUnderSampler,0.8659210854644904,0.9283447911158117,0.8034973798131694,0.1965026201868307,0.07165520888418826,0.0,0.0,0.0,0.0,0.0
0.01,2048,balanced,ovr,linear,TomekLinks,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.01,2048,balanced,ovr,linear,ADASYN,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.01,2048,balanced,ovr,linear,RandomOverSampler,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,linear,TomekLinks,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,linear,ADASYN,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,balanced,ovr,linear,TomekLinks,0.8656480180548481,0.939167988718491,0.7921280473912052,0.20787195260879468,0.0608320112815089,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,linear,RandomOverSampler,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,,ovr,linear,TomekLinks,0.8640174874713825,0.9359069275515601,0.7921280473912052,0.20787195260879468,0.06409307244843998,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,balanced,ovr,linear,ADASYN,0.8651015699674165,0.9380750925436278,0.7921280473912055,0.20787195260879468,0.06192490745637228,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,,ovr,linear,ADASYN,0.8651015699674165,0.9380750925436278,0.7921280473912055,0.20787195260879468,0.06192490745637228,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,balanced,ovr,linear,RandomOverSampler,0.8618508165274008,0.9271990128679711,0.7965026201868307,0.2034973798131693,0.07280098713202891,0.0,0.0,0.0,0.0,0.0
0.01,2048,balanced,ovr,linear,SMOTE,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,,ovr,linear,RandomOverSampler,0.8618508165274008,0.9271990128679711,0.7965026201868307,0.2034973798131693,0.07280098713202891,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,linear,SMOTE,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,balanced,ovr,linear,SMOTE,0.8619586681236046,0.9282919090428345,0.7956254272043747,0.20437457279562543,0.07170809095716553,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,,ovr,linear,SMOTE,0.8619586681236046,0.9282919090428345,0.7956254272043747,0.20437457279562543,0.07170809095716553,0.0,0.0,0.0,0.0,0.0
0.01,2048,balanced,ovr,linear,SMOTEENN,0.8617311721927771,0.891256830601093,0.8322055137844612,0.16779448621553883,0.1087431693989071,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,linear,SMOTEENN,0.8439199954118265,0.7739643927375287,0.9138755980861245,0.08612440191387559,0.22603560726247138,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,balanced,ovr,linear,SMOTEENN,0.8361029099116716,0.7687995769434162,0.9034062428799269,0.0965937571200729,0.23120042305658384,0.0,0.0,0.0,0.0,0.0
0.5357894736842106,2048,,ovr,linear,SMOTEENN,0.830563527828272,0.735096069099242,0.9260309865573023,0.07396901344269764,0.264903930900758,0.0,0.0,0.0,0.0,0.0
0.01,2048,balanced,ovr,linear,SMOTETomek,0.8637073580301892,0.9282919090428345,0.7991228070175439,0.20087719298245613,0.07170809095716552,0.0,0.0,0.0,0.0,0.0
