class_weight,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,splitter,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
,gini,,auto,,2,3,random,None,0.511542611,0.152444969,0.741031885,0.597864445,0.884199325,0.115800675,0.402135555,0.432199335,0.682745603,0.042130366,0.196098142,0.196098142
,gini,,auto,,2,2,random,None,0.511542611,0.152444969,0.741031885,0.597864445,0.884199325,0.115800675,0.402135555,0.432199335,0.682745603,0.042130366,0.196098142,0.196098142
,gini,,auto,,3,2,random,None,0.501858103,0.151667089,0.732668061,0.570238335,0.895097787,0.104902213,0.429761665,0.380123287,0.704869407,0.031225343,0.228165034,0.228165034
,gini,,auto,,2,3,best,None,0.5123088,0.159160458,0.756509853,0.684825292,0.828194413,0.171805587,0.315174708,0.481240197,0.711225343,0.075368814,0.176742043,0.176742043
,gini,,auto,,3,3,best,None,0.496697222,0.156783765,0.749210482,0.680805029,0.817615935,0.182384065,0.319194971,0.450751625,0.693874547,0.064462109,0.177152797,0.177152797
,gini,,auto,,2,2,best,None,0.5123088,0.159160458,0.756509853,0.684825292,0.828194413,0.171805587,0.315174708,0.481240197,0.711225343,0.075368814,0.176742043,0.176742043
,gini,,auto,,3,2,best,None,0.496697222,0.156783765,0.749210482,0.680805029,0.817615935,0.182384065,0.319194971,0.450751625,0.693874547,0.064462109,0.177152797,0.177152797
,gini,,auto,,3,3,random,None,0.501858103,0.151667089,0.732668061,0.570238335,0.895097787,0.104902213,0.429761665,0.380123287,0.704869407,0.031225343,0.228165034,0.228165034
,gini,,auto,,2,2,random,ClusterCentroids,0.4057261,0.230229205,0.71309687,0.786511032,0.639682708,0.360317292,0.213488968,0.737902286,0.462481473,0.316394714,0.091209375,0.091209375
,gini,,auto,,3,2,random,ClusterCentroids,0.388242887,0.226984667,0.704106973,0.780076902,0.628137045,0.371862955,0.219923098,0.749407062,0.462772016,0.347199637,0.107304465,0.107304465
,gini,,auto,,2,2,best,ClusterCentroids,0.429584165,0.2718774,0.724894101,0.842611615,0.607176588,0.392823412,0.157388385,0.784529891,0.519956259,0.351019255,0.097872379,0.097872379
,gini,,auto,,2,3,random,ClusterCentroids,0.4057261,0.230229205,0.71309687,0.786511032,0.639682708,0.360317292,0.213488968,0.737902286,0.462481473,0.316394714,0.091209375,0.091209375
