algorithm,leaf_size,n_neighbors,p,weights,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
auto,20,5,2,uniform,None,0.477891129,0.170441329,0.744685419,0.707011505,0.782359334,0.217640666,0.292988495,0.532284171,0.635748017,0.097709138,0.157786322,0.157786322
auto,20,5,2,distance,None,0.479642962,0.177226889,0.745479827,0.707011505,0.78394815,0.21605185,0.292988495,0.561738839,0.636807564,0.107127968,0.17473893,0.17473893
auto,20,5,1,uniform,None,0.449860396,0.18401381,0.734463741,0.741718087,0.727209394,0.272790606,0.258281913,0.56053099,0.555089375,0.125651534,0.123487442,0.123487442
auto,20,5,1,distance,None,0.446006305,0.191330559,0.732274661,0.736068235,0.728481086,0.271518914,0.263931765,0.588575178,0.558477301,0.136658339,0.144067259,0.144067259
auto,20,20,1,distance,None,0.46009487,0.181684432,0.739702571,0.748168696,0.731236447,0.268763553,0.251831304,0.553663523,0.444687713,0.090716767,0.093826482,0.093826482
auto,20,20,1,uniform,None,0.441316679,0.176418834,0.726580969,0.690059507,0.76310243,0.23689757,0.309940493,0.429571851,0.400758237,0.061076707,0.057500687,0.057500687
auto,20,5,3,uniform,None,0.485368787,0.16685899,0.746758843,0.695915042,0.797602645,0.202397355,0.304084958,0.521182825,0.6589312,0.088392763,0.167474747,0.167474747
auto,20,5,3,distance,None,0.484687263,0.173506722,0.746226879,0.693897891,0.798555867,0.201444133,0.306102109,0.549629223,0.660626004,0.09823521,0.185435015,0.185435015
auto,20,5,2,uniform,ClusterCentroids,0.303612534,0.336349991,0.646870614,0.890022887,0.40371834,0.59628166,0.109977113,0.827675547,0.291306601,0.50619914,0.062956453,0.062956453
auto,20,5,2,distance,ClusterCentroids,0.304240836,0.339704959,0.647753726,0.886387745,0.409119708,0.590880292,0.113612255,0.830902377,0.299034665,0.50355246,0.070015563,0.070015563
auto,20,5,1,uniform,ClusterCentroids,0.270100329,0.418787304,0.61624202,0.941072965,0.291411075,0.708588925,0.058927035,0.88275016,0.18778476,0.610248063,0.027446672,0.027446672
auto,20,20,1,distance,ClusterCentroids,0.223986897,0.400883853,0.580003821,0.972755348,0.187252294,0.812747706,0.027244652,0.919481217,0.058641162,0.615226151,0.007871464,0.007871464
auto,20,5,1,distance,ClusterCentroids,0.257776254,0.422546265,0.61156322,0.931183741,0.291942699,0.708057301,0.068816259,0.885377033,0.189901162,0.602307181,0.034913485,0.034913485
auto,20,20,1,uniform,ClusterCentroids,0.289736279,0.359079122,0.622381219,0.958430224,0.286332215,0.713667785,0.041569776,0.88659892,0.067208553,0.492432432,0.008673441,0.008673441
auto,20,5,2,uniform,EditedNearestNeighbours,0.389087382,0.311600121,0.695772173,0.903141994,0.488402352,0.511597648,0.096858006,0.857536086,0.354817675,0.412097644,0.062956453,0.062956453
auto,20,5,2,distance,EditedNearestNeighbours,0.379770703,0.320597049,0.689966374,0.904550642,0.475382105,0.524617895,0.095449358,0.86823095,0.356617963,0.428291989,0.066588544,0.066588544
auto,20,5,1,uniform,EditedNearestNeighbours,0.339683858,0.362013911,0.659652477,0.934214654,0.3850903,0.6149097,0.065785346,0.89748787,0.25542265,0.507153877,0.041975037,0.041975037
auto,20,5,1,distance,EditedNearestNeighbours,0.323979736,0.369620241,0.650833414,0.931183741,0.370483088,0.629516912,0.068816259,0.903944582,0.261774043,0.518798462,0.04560896,0.04560896
auto,20,20,1,distance,EditedNearestNeighbours,0.33620345,0.339759143,0.655034456,0.943504532,0.36656438,0.63343562,0.056495468,0.895675791,0.251398121,0.495186783,0.036323354,0.036323354
auto,20,20,1,uniform,EditedNearestNeighbours,0.347174485,0.326326607,0.660865169,0.947543715,0.374186624,0.625813376,0.052456285,0.858150081,0.227680958,0.452524121,0.031271629,0.031271629
auto,20,5,3,distance,ClusterCentroids,0.313096361,0.313419149,0.655154897,0.871657359,0.438652434,0.561347566,0.128342641,0.812737038,0.332484922,0.479098426,0.08051329,0.08051329
