C,class_weight,fit_intercept,intercept_scaling,solver,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
1,,TRUE,0.1,liblinear,None,0.543063784,0.134226265,0.751801654,0.594215264,0.909388044,0.090611956,0.405784736,0.42412463,0.726048065,0.024241384,0.165055388,0.165055388
1,,TRUE,1.733333333,liblinear,None,0.545214055,0.133893934,0.753066159,0.596638286,0.909494032,0.090505968,0.403361714,0.420090329,0.730176058,0.023288499,0.165258018,0.165258018
1,,TRUE,1,liblinear,None,0.545066111,0.133925141,0.753013165,0.596638286,0.909388044,0.090611956,0.403361714,0.42069578,0.729964586,0.023500139,0.165660838,0.165660838
1,,TRUE,3.366666667,liblinear,None,0.545527572,0.133881824,0.753172147,0.596638286,0.909706009,0.090293991,0.403361714,0.419686899,0.730705159,0.023182678,0.165459428,0.165459428
1,,TRUE,0.1,liblinear,ClusterCentroids,0.449808032,0.192706829,0.734855145,0.867833623,0.601876667,0.398123333,0.132166377,0.667477799,0.424363355,0.198478647,0.05206262,0.05206262
1,,TRUE,1,liblinear,ClusterCentroids,0.451966757,0.19249277,0.735955531,0.870456834,0.601454227,0.398545773,0.129543166,0.668887668,0.424890437,0.198054862,0.05246544,0.05246544
1,,TRUE,3.366666667,liblinear,ClusterCentroids,0.453161206,0.192467756,0.736565486,0.871465104,0.601665868,0.398334132,0.128534896,0.668686258,0.425102077,0.198054693,0.05266685,0.05266685
1,,TRUE,1.733333333,liblinear,ClusterCentroids,0.452873694,0.192474618,0.736411871,0.871263694,0.601560047,0.398439953,0.128736306,0.669089688,0.424996257,0.198054862,0.05266685,0.05266685
1,,TRUE,0.1,liblinear,EditedNearestNeighbours,0.484893527,0.202373546,0.753810526,0.876526595,0.631094456,0.368905544,0.123473405,0.810525802,0.489464086,0.267493207,0.059121731,0.059121731
1,,TRUE,1,liblinear,EditedNearestNeighbours,0.484237755,0.202908337,0.753440071,0.876526595,0.630353547,0.369646453,0.123473405,0.809718331,0.488829165,0.268128296,0.059121731,0.059121731
1,,TRUE,3.366666667,liblinear,EditedNearestNeighbours,0.484230848,0.203016484,0.753440071,0.876526595,0.630353547,0.369646453,0.123473405,0.809919741,0.488300065,0.268022308,0.059121731,0.059121731
1,,TRUE,1.733333333,liblinear,EditedNearestNeighbours,0.484230848,0.202983327,0.753440071,0.876526595,0.630353547,0.369646453,0.123473405,0.809919741,0.488511705,0.268128128,0.059121731,0.059121731
1,,TRUE,0.1,liblinear,InstanceHardnessThreshold,0.463805553,0.227674944,0.742527277,0.872481309,0.612573246,0.387426754,0.127518691,0.826465867,0.554664581,0.310153683,0.105929384,0.105929384
1,,TRUE,1,liblinear,InstanceHardnessThreshold,0.460254205,0.232054535,0.740505739,0.872883518,0.60812796,0.39187204,0.127116482,0.826869297,0.551386513,0.316186943,0.105324545,0.105324545
