C,cache_size,class_weight,decision_function_shape,kernel,max_iter,Data balancer,Matthews correlation coefficient,Cohen Kappa Score,Balanced Accuracy,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff,
1.061578947,2048,None,ovr,linear,10000,None,0.539661588,0.525902591,0.745789932,0.572029052,0.919550811,0.080449189,0.427970948,0,0,0,0,0,41.45314002
1.587368421,2048,None,ovr,linear,10000,None,0.538682988,0.526986438,0.747522272,0.581102872,0.913941673,0.086058327,0.418897128,0,0,0,0,0,41.52693558
0.535789474,2048,None,ovr,linear,10000,None,0.538310632,0.522929206,0.743452005,0.563755989,0.923148022,0.076851978,0.436244011,0,0,0,0,0,42.23382227
1.587368421,2048,balanced,ovr,linear,10000,None,0.515834895,0.505888317,0.76933876,0.791350362,0.747327159,0.252672841,0.208649638,0,0,0,0,0,44.2429142
1.061578947,2048,balanced,ovr,linear,10000,None,0.517709409,0.508074783,0.770199961,0.79074186,0.749658061,0.250341939,0.20925814,0,0,0,0,0,45.09570742
0.535789474,2048,balanced,ovr,linear,10000,None,0.518673284,0.508759543,0.770784666,0.79275901,0.748810323,0.251189677,0.20724099,0,0,0,0,0,48.166459
0.01,2048,None,ovr,linear,10000,None,0.393813647,0.36869739,0.666141685,0.41908328,0.913200091,0.086799909,0.58091672,0,0,0,0,0,50.47671541
0.01,2048,balanced,ovr,linear,10000,None,0.409385178,0.408739004,0.70084974,0.58271293,0.81898655,0.18101345,0.41728707,0,0,0,0,0,65.48087899
0.535789474,2048,None,ovr,linear,10000,ClusterCentroids,0.445547271,0.409548157,0.733432284,0.85292441,0.613940159,0.386059841,0.14707559,0,0,0,0,0,20.99033054
1.061578947,2048,None,ovr,linear,10000,ClusterCentroids,0.453908181,0.41301738,0.737174905,0.870251762,0.604098048,0.395901952,0.129748238,0,0,0,0,0,21.04561146
1.587368421,2048,balanced,ovr,linear,10000,ClusterCentroids,0.447434805,0.40509683,0.733442069,0.871252708,0.59563143,0.40436857,0.128747292,0,0,0,0,0,20.11410522
1.587368421,2048,None,ovr,linear,10000,ClusterCentroids,0.447434805,0.40509683,0.733442069,0.871252708,0.59563143,0.40436857,0.128747292,0,0,0,0,0,20.82778327
0.535789474,2048,balanced,ovr,linear,10000,ClusterCentroids,0.445547271,0.409548157,0.733432284,0.85292441,0.613940159,0.386059841,0.14707559,0,0,0,0,0,21.16782077
1.061578947,2048,balanced,ovr,linear,10000,ClusterCentroids,0.453908181,0.41301738,0.737174905,0.870251762,0.604098048,0.395901952,0.129748238,0,0,0,0,0,21.38743305
0.01,2048,None,ovr,linear,10000,ClusterCentroids,0.261644636,0.168403636,0.610588782,0.942890537,0.278287027,0.721712973,0.057109463,0,0,0,0,0,24.53389287
