Default time range,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
"(0, 30)",AdaBoost,0.30043345269672467,0.2233531224958222,0.6492857684086037,0.70731119072889936,0.22869950581579268,0.4280779247130011,0.8704936121042062,0.12950638789579347,0.5719220752869988,0.04487733623544966,0.0035218040430826606,0.021574605411590116,0.01417721673029123,0.02532170265361135,0.0466613269504179,0.027687416544775998,"[1322371552, 1889860984, 2072383577, 597991826, 1826916096, 2510498578L, 2749237882L, 313157385, 2693336318L, 3560631326L, 1953991577, 201559624, 746372959, 1715197232, 2178339132L, 524427603, 2994676925L, 3791882698L, 3167914691L, 1500664076, 3542264772L, 3827937821L, 964702310, 720797661, 3740297731L, 3313076915L, 3347490346L, 3640022210L, 1313569738, 3959347916L, 1304881611, 186357057, 1708037496, 1300532791, 3997410663L, 2745183637L, 3426729650L, 1587546367, 3704099858L, 3767928465L, 3145972668L, 904336694, 434091843, 4231822471L, 2845764519L, 1439144028, 1429340934, 756777039, 1068703171, 3838436313L, 1600970263, 2669817327L, 1700724760, 4250030278L, 3863536390L, 47943109, 4055588928L, 1091416955, 3597482481L, 1109715491, 676304392, 525204270, 3918433963L, 811470329, 3999390507L, 33918859, 2226437069L, 1748281366, 1551441622, 3583244829L, 3606121985L, 1965864719, 1905912762, 3727130839L, 2739789258L, 3057233292L, 3985876445L, 4232734293L, 710579913, 4247734746L, 3533236876L, 955957123, 3786319755L, 2410932494L, 3018340407L, 138751286, 1146407058, 2078029304, 1488610014, 3568098246L, 995594066, 118048610, 3580534240L, 3931337657L, 269906972, 3520191062L, 394474254, 2779482651L, 3327240740L, 2840544256L]"
"(0, 60)",AdaBoost,0.28827395182709342,0.22405374264971731,0.648129888953499,0.69874404739839147,0.21777916706091596,0.437724988105553,0.858534789801445,0.14146521019855454,0.5622750118944472,0.041031158855556464,0.003389257587964652,0.017026959080736703,0.01384656571182017,0.022560430738727127,0.0423602336723937,0.03797233872854635,
"(0, 100)",AdaBoost,0.22138867257293326,0.23136012663659167,0.6342010351354561,0.70046012223950882,0.18824289096159855,0.46766480159995083,0.8007372686709614,0.19926273132903854,0.5323351984000491,0.04142452409130675,0.0030221573297637516,0.024735123013207738,0.021369605144056558,0.02584676398010439,0.052493704903682596,0.030963782320359845,
"(0, 200)",AdaBoost,0.13284554808504276,0.23651910968689649,0.6137490501465516,0.67188708995095903,0.22217900167308646,0.46172906015088644,0.7657690401422161,0.23423095985778367,0.5382709398491136,0.02166799738415867,0.003033369722251374,0.01528869091685001,0.016101166487170557,0.025936176190481632,0.02705891797887051,0.031062193244656013,
"(0, 300)",AdaBoost,0.09135366470989198,0.23574341579391128,0.5923786127085383,0.68698565986733773,0.22514798720856022,0.42223322225278714,0.7625240031642896,0.2374759968357106,0.5777667777472129,0.02593206068393076,0.0032419562168693947,0.025281907382205024,0.01958042862200433,0.026402555139918207,0.05747745393745404,0.03594661104848923,
"(50, 150)",AdaBoost,0.26794891598291548,0.23639752443805395,0.6834025044117701,0.75103481182709286,0.2914637024760838,0.6169846159970607,0.7498203928264792,0.25017960717352095,0.38301538400293944,0.027527323688900547,0.002708601405225861,0.015573549934719492,0.011510635084663715,0.019925969903747502,0.03135858334318393,0.033303478379402375,
"(100, 200)",AdaBoost,0.28176661023933819,0.23502107741857942,0.6818038174047081,0.72495576890230584,0.2822861937098977,0.5878082953131135,0.7757993394963019,0.22420066050369802,0.41219170468688654,0.027583021311208347,0.0037795267005273666,0.015238512526239558,0.009855699308989422,0.019903521713551836,0.02589022801201589,0.023872960023998406,
"(200, 1000)",AdaBoost,0.26549905756561487,0.2327147252698514,0.6482866837499671,0.71465189933804074,0.21809625986548734,0.4627257488701691,0.8338476186297662,0.16615238137023394,0.5372742511298312,0.040524171056522326,0.002682037845429203,0.024066100522180826,0.013152241218676215,0.029954279573811398,0.054340473381751714,0.02477558265554717,
"(0, 30)",Artificial neural network,0.26595499828586022,0.17174164779828582,0.6333041737995048,0.68263806781708736,0.18298839740463904,0.4048927187257864,0.8617156288732226,0.13828437112677738,0.5951072812742136,0.04692414976426281,0.0122272340643459,0.023835025213803623,0.02747604661571059,0.03461135897311427,0.04741216350453544,0.023410005825868864,
"(0, 60)",Artificial neural network,0.26826753209612303,0.16465635017605135,0.6370438758725526,0.68337316728254793,0.1837471523686199,0.4118670874865862,0.8622206642585184,0.13777933574148155,0.588132912513414,0.040815871032615095,0.010785620411328146,0.02024717613374489,0.02723011606811238,0.03201956095450692,0.0389380926895903,0.02102008349708408,
"(0, 100)",Artificial neural network,0.20981767824761641,0.17380351141364353,0.6254746420902826,0.67782716312572366,0.1681961067330186,0.4425861560009005,0.8083631281796647,0.1916368718203355,0.5574138439990994,0.03558929484685661,0.01274503716965541,0.020921603642234058,0.03942132373877465,0.038320738513705585,0.04228632950949549,0.024422972157693058,
"(0, 200)",Artificial neural network,0.13892354573333496,0.18180717141244707,0.6180706414879346,0.65902538287116275,0.2101821657101097,0.46125030565897396,0.7748909773168947,0.22510902268310548,0.5387496943410262,0.019339296115346502,0.010794853095070894,0.014781075160738288,0.03200853640837781,0.03867893260931323,0.02765004072645166,0.020868419023849616,
"(0, 300)",Artificial neural network,0.10940475663915203,0.17739336355117838,0.6088220167920789,0.69859726695315094,0.23108623606256742,0.43879683488813903,0.7788471986960187,0.2211528013039813,0.5612031651118609,0.0300279794881531,0.014668424672949609,0.02976519280545835,0.03569954987561053,0.03508057190916162,0.062254870198274415,0.02779167190441726,
"(50, 150)",Artificial neural network,0.2776877678381765,0.17862396912609235,0.6881082581326755,0.73832272260579335,0.2651797129647744,0.6137093889314944,0.7625071273338563,0.23749287266614366,0.38629061106850526,0.02798975008551573,0.011880859769223897,0.017247835240693118,0.024218500739953536,0.03266332480496685,0.03499823934426129,0.028743386262826316,
"(100, 200)",Artificial neural network,0.25289246430695084,0.18682112706222082,0.6649510389759057,0.71317851616640826,0.2483027132587987,0.5684579434634269,0.7614441344883841,0.23855586551161587,0.4315420565365733,0.030506389235115897,0.010189074403192666,0.018147099006919718,0.016062663152504878,0.027109086732424983,0.030039134259671137,0.0236714353302027,
"(200, 1000)",Artificial neural network,0.24860155580053939,0.17837608499366261,0.6437329200624836,0.69033152903660477,0.16574195333943892,0.4766748825093593,0.8107909576156085,0.18920904238439187,0.5233251174906407,0.027635306180788292,0.01110304652845223,0.01514137582267453,0.017744511582990116,0.025902630123233468,0.03133548919025767,0.02095929014074033,
"(0, 30)",Bernoulli Naive Bayes,0.33612954006983964,0.18061846028282574,0.6830332675613885,0.72704916971349831,0.2593884336064067,0.532843978290702,0.8332225568320749,0.16677744316792498,0.46715602170929793,0.02279468012596736,0.012427048850610614,0.0092095953960709,0.00833065458883968,0.016357990895323637,0.020066698990587797,0.021101758209378405,
"(0, 60)",Bernoulli Naive Bayes,0.30629401621235186,0.18456273686755115,0.6686008204642355,0.7190872111337403,0.23287363900576522,0.504249395596343,0.8329522453321287,0.16704775466787136,0.4957506044036571,0.018318351798698437,0.010442412819129838,0.007941342277019767,0.0074211793788739626,0.014164075678426733,0.0164967014165943,0.01636493576510924,
"(0, 100)",Bernoulli Naive Bayes,0.26136433753635591,0.18216451643531997,0.6578121162976367,0.72328244990890445,0.22301875562234982,0.5037158171907684,0.8119084154045052,0.18809158459549452,0.4962841828092317,0.018950817347726596,0.012354942840930321,0.00911740741690757,0.009005899554070464,0.01657924893974456,0.01646026613196153,0.01843799990975086,
