Default time range,Classifier description,Matthews correlation coefficient,Cohen Kappa score,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,initialisation_values
"(0, 30)",AdaBoost,0.34427754381758435,0.34129875921592329,0.6781161448625234,0.49843880650081857,0.8577934832242282,0.14220651677577192,0.5015611934991814,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(0, 60)",AdaBoost,0.31578046481370298,0.31338028420358677,0.6623855345324778,0.46048365163724325,0.8642874174277128,0.13571258257228716,0.5395163483627566,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(0, 100)",AdaBoost,0.25598090814657076,0.24319846379312629,0.6550161243942716,0.5059902084871399,0.804042040301403,0.19595795969859672,0.49400979151286023,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(0, 200)",AdaBoost,0.15681550253700194,0.12289710023235718,0.6328055663389036,0.4864591746170693,0.7791519580607382,0.22084804193926175,0.5135408253829307,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(50, 100)",AdaBoost,0.29621483397889087,0.28071569032144406,0.6772056635338997,0.5747647782720925,0.7796465487957068,0.220353451204293,0.4252352217279076,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(50, 150)",AdaBoost,0.30360949016482519,0.27225451814451751,0.7028287424061616,0.6273520602072873,0.7783054246050355,0.22169457539496434,0.37264793979271277,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(100, 200)",AdaBoost,0.30939337575207793,0.28122017744420413,0.7007844637262984,0.6276296710911266,0.77393925636147,0.2260607436385299,0.37237032890887334,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(200, 1000)",AdaBoost,0.30949488049677748,0.2923871999621187,0.6871170405025488,0.5847929590455366,0.7894411219595611,0.21055887804043874,0.41520704095446365,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(0, 30)",Artificial neural network,0.3386904992812837,0.33699421573463989,0.6776445440427956,0.5001658187923812,0.8551232692932104,0.14487673070678966,0.4998341812076188,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(0, 60)",Artificial neural network,0.32364831510141323,0.32242334186829263,0.6676666757427386,0.4689553341339008,0.8663780173515764,0.1336219826484234,0.5310446658660993,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
